claim_id	paraphrase	label	source	locator	note
sac-01	Without a cache every decode step recomputes keys and values for all positions; score matrices grow 1×1, 2×2, 3×3, 4×4	inferred	course-6538601	03-07	lines 1–27 and 68–69; sizes spoken as 3×3 and 4×4/n×n
sac-02	With the cache only the new token's key and value are computed; the score product shrinks from n×n to 1×n	inferred	course-6538601	03-07	lines 28–71; the lecturer says 1×3 instead of 3×3 at 60–61
sac-03	MQA gives lower latency, MHA higher quality, GQA sits between; many modern LLMs use GQA	reported	course-6538601	03-05	lines 4–17; the lecture says nothing about cache size
sac-04	Sliding-window attention attends only to the last w tokens; stacked layers give an effective context beyond the window	reported	course-6538601	03-06	lines 11–50; window of 3 then 4 in the figures; no formula
sac-05	A serving engine, as of the recording, lists paged attention, continuous batching, quantisation, speculative decoding and chunked prefill	reported	course-6538601	04-01	lines 3–10; transcript renders chunked prefill as Chongqing prefilled
sac-06	Prefill sets time to first token and is compute-bound; decode sets tokens per second and is memory-bound	reported	inference-eng	65	printed p. 63 §2.4.2
sac-07	ops:byte ratio = compute rate over memory bandwidth; an H100 at FP16 is about 295 (989 TFLOPS / 3.35 TB/s)	reported	inference-eng	64	printed p. 62; vendor figure, dated; essay uses an invented machine
sac-08	Arithmetic intensity = operations per byte moved; compute-bound above the hardware ratio, memory-bound below (roofline)	reported	inference-eng	64–65	Figure 2.12 equation is an image and did not extract
sac-09	Static batching waits for a full batch; dynamic adds a time cutoff; continuous swaps requests in as slots free	reported	inference-eng	188	printed p. 186 §7.2.1; token-level continuous batching in vLLM, SGLang, TensorRT-LLM on 189
sac-10	Larger batches raise throughput and worsen each user's latency; the concurrency target should match the batch size; add replicas when all are at max concurrency	reported	inference-eng	190	printed p. 188
sac-11	A cold start is the time to bring up a replica: GPU procurement, image load, weight load, engine start-up; smaller (quantised) weights load faster	reported	inference-eng	190–191	printed pp. 188–189 §7.2.2; compilation engines take minutes, 192
sac-12	Scales are computed per tensor, per channel or per block of N values; finer blocks protect outliers at the cost of storing more scales (MX block 32, NVFP4 block 16)	reported	inference-eng	125–126	printed pp. 123–124 §5.1.1
sac-13	A quantised model must be re-tested against the original on perplexity, public benchmarks and custom evals; the bar is no perceptible loss	reported	inference-eng	130	printed p. 128 §5.1.3; supports section 5
sac-14	KV cache per token = 2 × layers × heads × head dim × bytes per value; Llama-2-7b at 2 bytes ≈ 0.5 MB per token; total = per token × batch × sequence length	reported	llm-serving	§5 Estimating KV Cache Size	formula uses attention heads (MHA); kv-heads substitution for GQA is the essay's step
