claim_id	paraphrase	label	source	locator	note
bta-01	A golden set pairs each question with keywords expected in the relevant chunk and a reference answer; real user questions with expert answers are the best source.	reported	course-6100015	05-18	lines 7-40
bta-02	Because the system is tuned to the golden set, it can pass every row and still fail a new kind of question; the set must keep growing.	reported	course-6100015	05-18	lines 41-49; supports section 6
bta-03	Reciprocal rank is 1 over the position of the first relevant chunk; MRR is its average over the test questions; MRR 1 means the first chunk always holds the answer.	reported	course-6100015	05-18	lines 148-163; same definition in llm-deep-dive p. 324
bta-04	Recall at k is the share of test questions whose top k chunks contain relevant context.	reported	course-6100015	05-18	lines 179-191
bta-05	With several keywords per question the course uses keyword coverage (keywords found over keywords total) as a recall-style proxy.	reported	course-6100015	05-18	lines 192-199; 05-19 lines 148-150
bta-06	The course's retrieval metrics are keyword proxies computed over a largely model-generated golden set; the MRR is averaged per keyword, not per human relevance judgement.	inferred	course-6100015	05-19	lines 103-111 (synthetic set); 143-159 (per-keyword MRR)
bta-07	The answer is judged separately from retrieval by a model given the question, the generated answer and the reference answer, scoring accuracy, completeness and relevance.	reported	course-6100015	05-20	lines 34-46, 95-105; dimensions at 05-18 99-118
bta-08	On the award question retrieval found two of three keywords (coverage two thirds) while the judge scored the answer accurate and relevant but incomplete (surname missing).	reported	course-6100015	05-20	lines 59-76 and 95-105; one lecture row illustrating retrieval and answer judged apart
bta-09	First run over 150 questions: MRR 0.7298, nDCG 0.7387, keyword coverage 83.8 percent; judge accuracy 3.99 and completeness 3.85 out of 5.	reported	course-6100015	05-21	lines 53-58, 111-115; coverage 83.8 given at 05-31 line 164 (05-21 says just above 80)
bta-10	Chunk size experiments at equal context budget: 1000 chars at k=5 gave MRR 0.7298; 1667 at k=3 gave 0.7475; a Markdown header splitter at k=3 gave 0.738 because heading-bounded chunks were too large; 500 at k=10 beat all three but its MRR is not read out.	reported	course-6100015	05-22	lines 50-64, 104-116, 160-166; single runs each
bta-11	Final pipeline (semantic chunking with per-chunk summary and heading, OpenAI encoder, query expansion, reranking): MRR 0.9116, nDCG 0.9025, coverage 96 percent, accuracy 4.62; intermediate 0.7903 after the encoder change; results vary run to run.	reported	course-6100015	05-31	lines 128-139, 152-164, 178-190
bta-12	The lecturer glosses MRR 0.91 as the first chunk being right about nine times in ten; MRR alone does not give hit at 1, and hit rate is the companion that separates not-retrieved from retrieved-but-low.	inferred	llm-deep-dive	324	gloss at course-6100015 05-31 lines 159-160; hit rate and MRR pairing on physical p. 324 (printed 296), continues p. 325
