claim_id	paraphrase	label	source	locator	note
apb-01	A local runner (Ollama) downloads a packaged open-weight model with `ollama run <model>` and opens a prompt; `ollama serve` starts the server, and an address-in-use complaint means it is already running; the first model shown is Gemma 3 at 270 million parameters, which answers "hi there" and little more	reported	course-6100015	01-01	lines 87–130
apb-02	Phi 3 is a 2.2 GB download that manages fun facts; gpt-oss at 20 billion parameters needs at least 16 GB of memory and about 20 GB of disk and strains the instructor's machine	reported	course-6100015	01-01	lines 153–202; line 188 says "16MB", a transcription slip for 16 GB (02-04 line 598 says 16GB)
apb-03	The runner packages fixed versions of a fixed list of models, one compressed weight file each, run by optimised native code behind a local API; the Transformers library runs the model's own code and weights in your process; the small "DeepSeek" variants are Llama and Qwen models further trained on the large model's outputs, a distillation	reported	course-6100015	01-16	lines 262–275 and 341–370
apb-04	The runner exposes an OpenAI-compatible endpoint at localhost:11434/v1; the client's API key is mandatory and ignored; a local model has no per-call charge and keeps data on the machine, and is something like a thousand times smaller than a frontier model; deepseek-r1:1.5b is distilled Qwen	reported	course-6100015	01-19	lines 385–421, 456–460, 466–480
apb-05	On the two-coins probability question (answer two thirds) Llama 3.2 said fifty-fifty and gpt-oss 20B, running locally, got it right; gpt-oss 20B needs at least 16 GB of RAM	reported	course-6100015	02-04	lines 592–618
apb-06	Providers' native clients differ in small ways (Anthropic's makes max_tokens mandatory); the recommendation is the shared OpenAI-format client; a router is a remote service taking one key and forwarding to the provider named in the model string; an abstraction layer is a local library with one call for every provider	reported	course-6100015	02-04	lines 619–690
apb-07	One abstraction layer (LiteLLM) prints tokens and cost per call; a short answer of about a hundred tokens cost a small fraction of a cent; the same question with all of Hamlet (about 53,000 input tokens) cost half a cent; a repeat within minutes cost about a fifth as much, with most input tokens reported as cached	reported	course-6100015	02-05	lines 831–912; the transcript's cent figures are garbled at 834–838 and 888, so the appendix keeps only "a small fraction of a cent" and "half a cent"
apb-08	Prompt caching caches the prefix: static content first, changing content (the date, the question) last; one provider caches automatically, another must be told and charges about 25% more to write the cache and about ten times less to read it	reported	course-6100015	02-05	lines 913–943
apb-09	Gradio builds a page from a Python function passed as a callback, with inputs and outputs named; gr.Interface(fn, inputs, outputs, flagging_mode="never").launch() runs a local web server	reported	course-6100015	02-08	lines 1176–1262
apb-10	share=True opens a public address through an HTTP tunnel back to the machine running the callback, expiring in one week; the recording warns it may not suit locked-down environments	reported	course-6100015	02-08	lines 1272–1335
apb-11	auth=(user, password) puts a login on the page; the recording says plain-text passwords in a source file are not a credential store	reported	course-6100015	02-09	lines 1346–1372
apb-12	Streaming: the request carries stream=True, each chunk's delta text is appended to the reply so far, and the callback yields the cumulative reply as a generator, which the library redraws	reported	course-6100015	02-10	lines 1633–1669
apb-13	gr.ChatInterface(fn, type="messages") calls the callback with the new message and the history, the history in the OpenAI role/content format	reported	course-6100015	02-12	lines 1940–2052
apb-14	The chat callback prepends the system message, strips the history to role and content because some providers (Gemini, Grok) reject extra fields, and appends the new message as the last user turn	reported	course-6100015	02-13	lines 2064–2100
apb-15	Tool calling is messaging: the first prompt describes the tools in JSON the model was trained on; the model may reply with a request to run one; your code runs it and calls the model again with the whole history including the result; every call is stateless; a bare prompt to a chat product ("reply 'use tool to fetch ticket price for <city>'") produces exactly that line	reported	course-6100015	02-15	lines 2243–2327
apb-16	Tools that call other models, and to-do-list tools that let a model plan and check off steps, are the two ideas behind agentic loops	reported	course-6100015	02-16	lines 2356–2375
apb-17	The airline assistant's system message: helpful, short courteous one-sentence answers, accurate, "if you don't know the answer, say so"; Llama 3.2 "gets quite confused with tool calling", Phi 3 does a decent job, Phi 4 and Gemma 3 pretty good	reported	course-6100015	02-17	lines 2394–2415
apb-18	The tool description JSON has a name, a description, and parameters with typed properties and a required list, wrapped as {"type": "function", "function": ...}; it is sent as tools=tools; a reply with finish_reason "tool_calls" carries the requested calls; the result goes back as a role "tool" message	reported	course-6100015	02-17	lines 2500–2609
apb-19	The tool result message carries the tool_call_id of the call it answers; the recorded ticket to London cost 799	reported	course-6100015	02-18	lines 2628–2676
apb-20	A reply can request several tools at once, so the handler iterates over message.tool_calls (reading only the first fails on "London and Paris"); sequential tool use needs a while loop instead of an if, with tools passed on every call; an iteration cap is prudent; asked for London and then Paris only if under 1,000, the loop called London then Paris	reported	course-6100015	02-18	lines 2691–2802
apb-21	Multi-shot prompting puts example question–answer pairs in the system message to bias the format of answers	reported	course-6100015	02-12	lines 1898–1909
