claim_id	paraphrase	label	source	locator	note
pipe-01	With load and train run in sequence, prefetching lets the next batch be prepared while the current one trains, so the loads overlap the training steps; the cost is memory for the buffered batches	reported	course-4735368	03-11	the lecture draws red load blocks and blue train blocks and says the overlapped schedule ends at about two thirds of the sequential time; the essay's small timeline (equal L and C, three steps: 6 units vs 4) reproduces that ratio from n·max + min
pipe-02	Sequential step time is L + C; overlapped steady-state step time is max(L, C); over n steps the overlapped total is n·max(L, C) + min(L, C)	observed	course-4735368	03-11	the book's own derivation from the two schedules; checked by hand on L=2, C=1 (9 vs 7 units) and L=C=1 (6 vs 4)
pipe-03	A map step can run over several parallel calls on the training set only, with the degree of parallelism autotuned	reported	course-4735368	11-04	the only thing used from 11-04; framework API as of the course recording
pipe-04	Independent work items can be handed to several workers so no worker idles; W workers producing whole batches divide the producer's per-batch time by W while cores are free	inferred	dist-ml-patterns	p. 29	physical p. 29 (printed 8): the work-queue pattern, image-to-grayscale items taken by three workers; the L/W reading and the core condition are the book's
pipe-05	Small example: L = 2 units, C = 1 unit, three steps: sequential 9 units; overlapped 7 units (3 × 2 + 1) with the consumer idle 1 unit per gap; two workers bring the per-step time to max(1, 1) = 1	observed	course-4735368	03-11	the book's own numbers; timeline drawn in the essay's figure
pipe-06	Worked example: batch 64 at 4 ms per image gives L = 256 ms; C = 80 ms; sequential 336 ms (busy 23.8%), prefetch only 256 ms (31.3%), 2 workers 128 ms (62.5%), 4 workers 80 ms, 8 workers 80 ms	observed	course-4735368	03-11	invented example from pitch A, recomputed: 64 × 4 = 256; 256 + 80 = 336; 80/336 = 0.238; 80/256 = 0.3125; 256/2 = 128, 80/128 = 0.625; 256/4 = 64 < 80; 256/8 = 32 < 80
pipe-07	Epoch of 10,000 images at batch 64 is 157 steps (156 full plus one short batch counted as full): 52.8 s, 40.2 s, 20.1 s, 12.6 s, 12.6 s	observed	course-4735368	03-11	10,000 / 64 = 156.25 -> 157; 157 × 0.336 = 52.752; × 0.256 = 40.192; × 0.128 = 20.096; × 0.080 = 12.56; the pitch's 52.8 / 40.2 / 12.6 verified
pipe-08	A faster accelerator halving C to 40 ms leaves the prefetch-only pipeline at 256 ms per step and lowers utilisation to 15.6%; without prefetch it saves 40 ms of 336 (296 ms)	observed	course-4735368	03-11	40/256 = 0.15625; 256 + 40 = 296
pipe-09	A plain training loop waits for each batch to be processed before loading the next; num_workers sets worker processes that prepare batches on the CPU while the accelerator works; the best number is found by experiment; prefetch_factor is batches prepared per worker	reported	geron-pytorch	p. 367	physical p. 367, printed p. 337, chapter 10
pipe-10	pin_memory=True puts batches in page-locked RAM at a fixed physical address so the copy to the GPU is a direct memory access transfer without an extra copy; the pinned RAM cannot be swapped; non_blocking=True in .to() avoids blocking the CPU only with pinned memory	reported	geron-pytorch	p. 367	physical p. 367
pipe-11	Spawning and synchronising workers has overhead that can outweigh the gain, notably on Windows; persistent_workers=True keeps workers across epochs	reported	geron-pytorch	p. 367	physical p. 367
pipe-12	prefetch_factor is the number of batches each worker loads in advance, total prefetch_factor × num_workers; it defaults to 2 when num_workers > 0 and must be unset when num_workers = 0	reported	https://github.com/pytorch/pytorch/blob/v2.14.0/torch/utils/data/dataloader.py	DataLoader docstring and __init__	read from the installed PyTorch 2.14.0+cpu package, as of 2026-09-13
pipe-13	With workers the main process sends index lists round-robin to per-worker index queues, each worker calls __getitem__ for every index and collate_fn, results come back on one result queue (through a pin-memory thread if pin_memory) and are returned in the order sent; outstanding tasks are capped at prefetch_factor × num_workers	reported	https://github.com/pytorch/pytorch/blob/v2.14.0/torch/utils/data/dataloader.py	_MultiProcessingDataLoaderIter (_reset, _try_put_index, _next_data); _utils/fetch.py _MapDatasetFetcher.fetch	installed PyTorch 2.14.0+cpu, as of 2026-09-13; in_order=True is the default
pipe-14	pin_memory=True with no accelerator available produces a warning and no pinning	reported	https://github.com/pytorch/pytorch/blob/v2.14.0/torch/utils/data/dataloader.py	_BaseDataLoaderIter.__init__	installed PyTorch 2.14.0+cpu, as of 2026-09-13; why the exercise leaves pin_memory out of the executed code
pipe-15	Exercise run: measured L = 269 ms, C = 80 ms; forecasts 349, 269, 134, 80, 80, 80; measured 348, 271, 137, 83, 84, 84 ms for (workers, prefetch) = (0, None), (1, 2), (2, 2), (4, 2), (8, 2), (4, 1); wall 22.6 s	observed	course-4735368	03-11	corpus/input-pipeline-is-the-bottleneck/run.log; PyTorch 2.14.0+cpu, 16 logical cores, WSL2; two earlier runs gave L 270-274 and measured steps within 10 ms of the forecast
pipe-16	Nominal L is 256 ms but measured L is about 270 ms because each sleep overshoots slightly; the forecast uses measured numbers	observed	course-4735368	03-11	three runs: 274, 270, 270, 269 ms; sleep overshoot is the book's reading of the gap
pipe-17	Prefetch_factor 1 against 2 at four workers gives the same steady-state step time; the buffer depth absorbs variation and costs memory but does not set throughput	observed	course-4735368	03-11	run.log rows (4, 2) 83 ms and (4, 1) 84 ms; the jitter-absorbing role is the book's reading of the queue
pipe-18	Deterministic preprocessing can be done once and its output cached for later epochs, removing it from L; random augmentation cached this way stops being random per epoch	reported	dist-ml-patterns	pp. 59–60	physical pp. 59-60 (printed 38-39), caching pattern with preprocessing; 11-05 also suggests storing augmented data once; that a cached augmentation is the same every epoch is the book's reading
pipe-19	Storing examples in a few large record files instead of many small files, and storing preprocessed or augmented data once, are storage-side fixes to the same pipeline	reported	course-4735368	11-05	11-05 shows a file of about 17 KB against 10-100 MB records; the essay uses no number from it
pipe-20	The L/W forecast assumes W free CPU cores for CPU-bound decode; beyond the free cores more workers do not reduce L; a sleep-based stand-in uses no CPU and shows the ideal	inferred	geron-pytorch	p. 367	the source says the best worker count depends on platform, hardware and workload; the core-count reading is the book's; not measured in the exercise (sleep uses no CPU), offered to the reader as a variation to run
pipe-21	Utilisation of the accelerator in steady state is C divided by the step time	observed	course-4735368	03-11	the book's definition for the idealised model; real utilisation counters sample kernel activity and include copies
pipe-22	DataLoader workers are separate processes, so Python-level decoding in __getitem__ runs in parallel rather than sharing one interpreter lock; on platforms that start workers by spawning a fresh interpreter the main module is re-imported, which is why the script needs the __main__ guard and why start-up costs more there	inferred	https://docs.python.org/3/library/multiprocessing.html	Contexts and start methods; Safe importing of main module	as of 2026-09-13; the process model is confirmed in the installed PyTorch 2.14 source (worker processes via torch.multiprocessing); the larger start-up cost is the book's reading, consistent with geron-pytorch p. 367 on Windows overhead
pipe-23	With two workers and L/W above C, batches arrive in pairs, so single step times alternate short and long and only their mean equals L/W	observed	course-4735368	03-11	the book's derivation (L=4, C=1, W=2: arrivals 4,4,8,8, steps end 5,6,9,10, step times 1 and 3, mean 2 = L/W); why mean_step_ms averages 16 steps
pipe-24	Three workers give max(256/3, 80) = 85.3 ms and four give 80 ms, so the fourth is the last worker that shortens the step; at eight workers the producers could keep up with a 32 ms step and wait more than half the time	observed	course-4735368	03-11	256/3 = 85.33; 256/80 = 3.2 workers needed; at W=8 idle fraction 1 - 32/80 = 0.6
pipe-25	Halving C in the sequential loop gives 256 + 40 = 296 ms against 336; overlapping saves min(L, C) per step, 80 ms in the example	observed	course-4735368	03-11	(L + C) - max(L, C) = min(L, C)
pipe-26	The example is 156 full batches of 64 and one short batch of 16 over 10,000 images	observed	course-4735368	03-11	156 × 64 = 9,984; 10,000 - 9,984 = 16
