claim_id	paraphrase	label	source	locator	note
embeddings-01	A pair-scoring model must run once for every catalogue item on every query; an encoder instead turns each text into one vector, so catalogue items are encoded once when stored and a query once when it arrives, and ranking compares vectors	reported	course-4735368	34-02	the lecture's arithmetic: 350 million items and 10,000 queries give 3.5 trillion passes against 350 million plus 10,000; the essay uses no figures from it
embeddings-02	Cosine similarity is the dot product of two vectors divided by the product of their lengths; it is the cosine of the angle between them and lies between -1 and 1	reported	course-4735368	34-02	derived in the lecture from u.v = |u||v| cos theta; also geron-pytorch physical p. 632 (printed 602)
embeddings-03	A transformer encoder's per-token output vectors are averaged into one vector per text (mean pooling), with padding positions excluded by the attention mask	reported	course-4735368	34-04	34-02 introduces mean pooling for Sentence-BERT; 34-04 adds the mask: multiply by the mask, sum, divide by the mask's sum
embeddings-04	With the catalogue already stored as vectors, the whole catalogue is scored against a query by one matrix multiplication followed by a sort of the scores, on a CPU	reported	course-4735368	34-04	1.8 million titles as a 1.8 million x 384 matrix times the 384-number query vector, then norms, cosine and argsort; the lecture stresses no GPU is needed at this stage
embeddings-05	A small sentence encoder of about 22 million parameters outputs 384 numbers per text, and a catalogue of about 1.8 million titles becomes a 1.8 million by 384 table	reported	course-4735368	34-04	as of the course recording (date not stated in the lecture): the multi-qa MiniLM checkpoint and the multilingual paraphrase MiniLM checkpoint both output 384; the catalogue is 1,815,000-odd titles; 34-02 also uses 384 as its example width. Source of the 384 in the catalog title
embeddings-06	Encoders for search are trained on pairs: a query with a title that matches it, and the same query with one that does not; the same encoder with the same weights encodes both sides	reported	course-4735368	34-02	the lecture's head concatenates u, v and |u - v| and applies a dense layer and a sigmoid against a 1/0 label (binary cross-entropy, 34-04); the essay uses a different loss, the in-batch cross-entropy of embeddings-09
embeddings-07	The ancestor of pair training is word2vec's skip-gram with negative sampling: a word and a word near it in running text form a pair labelled 1, the word and a randomly drawn word a pair labelled 0, so the labels come free from raw text	reported	course-4735368	25-01	the lecture also shows the V x E embedding matrix and its transfer to a second task
embeddings-08	Contrastive learning trains an embedding space in which similar inputs land close together and dissimilar ones far apart; the same model is applied to both inputs of a pair	reported	raschka-qai	pp. 27–29	physical pages (printed 22–24), Q2; footnote gives the simplest contrastive loss as Euclidean distance; siamese setup named on physical p. 29 (printed 24)
embeddings-09	The in-batch contrastive loss: normalise every vector, build the B x B matrix of cosines between the batch's queries and documents, treat each row as a classification whose correct class is the diagonal entry, apply cross-entropy, and divide the cosines by a temperature first because values between -1 and 1 are a poor scale for class scores	reported	geron-pytorch	pp. 702–703	physical pages (printed 672–673), CLIP; the book averages the row loss and the column loss and says CLIP learns the temperature; the essay's code uses rows only and a fixed temperature, and says so
embeddings-10	This loss is known as InfoNCE; it was first published as the multiclass n-pair loss	reported	geron-pytorch	p. 702	physical page (printed 672), footnote 27: Sohn 2016, renamed by van den Oord et al. 2018
embeddings-11	The in-batch loss needs large batches so each query meets enough negatives; CLIP was trained with batches of 32,768 pairs	reported	geron-pytorch	pp. 702–703	physical pages (printed 672–673)
embeddings-12	An image-text encoder trained contrastively on pairs scraped from the web does noticeably worse on domain-specific images such as satellite and medical images	reported	geron-pytorch	p. 704	physical page (printed 674), CLIP
embeddings-13	A search encoder trained on query-title pairs whose two sides mostly shared a language returned irrelevant titles for a Spanish query against a catalogue whose matching titles were English; the proposed fix was to add pairs with the query in one language and the title in another	inferred	course-4735368	34-04	the lecture offers two causes: the same-language training pairs, and (noticed later) a base checkpoint that was not multilingual at all; it then switches checkpoint. The essay does not tell this case; it uses the mechanism (a pair type absent from training gets no pull) and demonstrates it on its own toy, embeddings-24
embeddings-14	In sentence-encoder model names 'multi' can mean trained on multiple sources of question-answer pairs rather than multilingual; multilingual checkpoints say so explicitly	reported	course-4735368	34-04	as of the course recording; the sentence-transformers naming (multi-qa vs multilingual)
embeddings-15	Encoder (embedding) models map a whole input to one vector of numbers, a point in a space where nearby points are meant to have similar meaning; the model is trained to have that property	reported	course-6100015	05-05	05-04 names BERT, OpenAI text-embedding-3 and all-MiniLM-L6-v2 as instances and separates tokens (inputs) from vectors (outputs); no arithmetic in either lecture
embeddings-16	Adapting a model to a new target domain is what fine-tuning on data from that domain is for	reported	raschka-qai	p. 218	physical page, appendix answer 19-A (financial documents example)
embeddings-17	Worked cosine ranking: query (1, 0) against d1 = (0.6, 0.8) and d2 = (0.8, -0.6), both unit length, gives cosines 0.6 and 0.8, so d2 ranks first	observed	course-4735368	34-02	the book's own numbers (worked example); source row anchors the formula used; the book's own numbers; unit vectors so cosine equals the dot product
embeddings-18	Temperature 0.1 turns cosines 0.6 and 0.8 into scores 6 and 8; softmax gives 1/(1+e^2) = 0.119 for d1 and 0.881 for d2; loss -ln 0.119 = 2.127	observed	geron-pytorch	p. 703	the book's own numbers (worked example); source row anchors the formula used; e^2 = 7.389 from math.exp; exercise prints loss 2.1269
embeddings-19	At temperature 1 the same cosines give d1 probability 1/(1+e^0.2) = 0.450, loss 0.798; with cosines +1 and -1, the best two documents can do, the probability is at most 1/(1+e^-2) = 0.881 and the loss cannot fall below 0.127	observed	geron-pytorch	p. 703	the book's own numbers (worked example); source row anchors the formula used; math.exp; exercise variant with tau = 1.0 prints loss 0.7981 for the one-step example
embeddings-20	Gradient of the loss with respect to each score divided by tau: (p - 1)/tau for the correct document, p/tau for each other; here -0.881/0.1 = -8.808 and +8.808	observed	geron-pytorch	p. 703	the book's own numbers (worked example); source row anchors the formula used; standard softmax cross-entropy derivative; confirmed by autograd in the exercise
embeddings-21	For unit vectors the cosine's gradient with respect to the document is the query minus the cosine times the document: (1,0) - 0.6(0.6,0.8) = (0.64, -0.48) and (1,0) - 0.8(0.8,-0.6) = (0.36, 0.48); times the score gradients this is (-5.637, 4.228) and (3.171, 4.228)	observed	course-4735368	34-02	the book's own numbers (worked example); source row anchors the formula used; exercise prints gradient on docs [[-5.6371, 4.2278], [3.1709, 4.2278]]
embeddings-22	A step of 0.05 moves d1 to (0.8819, 0.5886), length 1.0602, cosine 0.8819/1.0602 = 0.832, and d2 to (0.6415, -0.8114), length 1.0343, cosine 0.620; the order flips	observed	geron-pytorch	p. 703	the book's own numbers (worked example); source row anchors the formula used; exercise prints cosines after one step [0.8317, 0.6202]
embeddings-23	Batch of B pairs gives a B x B matrix, B squared cosines and B - 1 negatives per query; for B = 64, 4,096 cosines and 63 negatives, each a comparison of two 384-number vectors	observed	geron-pytorch	p. 703	the book's own numbers (arithmetic); source row anchors the formula used; 64 x 64 = 4,096; the 384 is embeddings-05
