claim_id	paraphrase	label	source	locator	note
lora-01	A Llama 3.2 base of about three billion weights takes about 13 GB of GPU memory at 32-bit before training starts, as reported	reported	course-6100015	07-02	07-03 repeats it (32 bits = four bytes each, spoken as 12 GB then corrected to 13); 3e9 x 4 bytes = 12.0 GB decimal
lora-02	Training is a forward pass, a loss, a backward pass over every parameter and a step; LoRA freezes all base weights so none of them receives a gradient update	reported	course-6100015	07-02	
lora-03	Target modules are the selected layers whose behaviour the adapters change; the adapter is two matrices A and B that are multiplied, scaled and added to the target module	reported	course-6100015	07-02	the lecture names the scale alpha and describes it as a plain multiplier of the product; see lora-10
lora-04	r is the inner dimension of the adapter matrices; 8, 16 and 32 are common starting values; alpha = 2r is the lecturer's rule of thumb, with other alphas reported as slightly worse in the lecturer's own trials	reported	course-6100015	07-03	
lora-05	The attention projections are the usual first target modules; the MLP layers are added for more capacity at the cost of longer training; the LM head only rarely	reported	course-6100015	07-03	07-06 repeats the rule of thumb
lora-06	The base model has 28 decoder layers and an inner width of 3072; the attention projections are spoken as 3000 in with some 1000 out; the MLP gate and up layers as 3000 to 8000 and down as 8000 to 3000	reported	course-6100015	07-04	spoken round numbers; 3072 is stated once for the embedding output; the essay infers 1024 and 8192 from the reported sizes (lora-13, lora-14)
lora-07	In the r = 32 fine-tuned model each of q, k, v and o carries an A of 3000 in and 32 out and a B of 32 in and 3000 out; the adapters stay at full precision while the base is held in 4-bit	reported	course-6100015	07-05	
lora-08	Reported footprints: 3.6 GB at 8-bit, 2.2 GB at 4-bit, 2.27 GB with the adapters loaded; the lecturer's total for r = 32 on q, k, v, o over 28 layers is 18 million parameters and 73 MB	reported	course-6100015	07-05	the 32-bit footprint is the 13 GB of lora-01
lora-09	The saved adapter file for the r = 32 configuration is 73.4 MB on disk; the heavy configuration (r = 256 on attention and MLP) is 389 million parameters and 1.56 GB, as reported	reported	course-6100015	07-06	the same lecture says 17 MB for the difference between 2.27 GB and 2.2 GB; that difference is 70 MB and agrees with the lecture's own 73 MB, so the 17 is treated as a slip and not repeated
lora-10	The applied update B·A·x is scaled by alpha / r; A starts random Gaussian and B starts at zero so the update is zero at initialisation; the paper's experiments adapt the query and value projections	disputed	arXiv:2106.09685	§4.1, §4.2	lectures 07-02, 07-03 and 07-11 describe alpha as a plain multiplier of B·A; the essay follows the paper's alpha / r and says so
lora-11	Five adapter hyperparameters: target modules, r, alpha, quantisation and dropout, with 10% the most common dropout as reported	reported	course-6100015	07-11	
lora-12	An adapter configuration with r = 256 and alpha = 512 appears in the run comparison, consistent with alpha = 2r	reported	course-6100015	07-20	
lora-13	Recomputing the lecturer's r = 32 configuration with widths 3072 (q, o) and 1024 (k, v): 655,360 adapter parameters per layer, 18,350,080 over 28 layers, 73,400,320 bytes at four bytes each	observed	course-6100015	07-05	the book's own arithmetic; 1024 for the k and v width is inferred: the spoken 1000 gives 73.2 MB, 1024 gives the reported 73.4 MB exactly
lora-14	Recomputing the heavy configuration with r = 256 on q, k, v, o, gate, up and down (MLP width 8192): 13,893,632 per layer, 389,021,696 over 28 layers, 1.556 GB at four bytes each	observed	course-6100015	07-06	8192 inferred from the spoken 8000 the same way; matches the reported 389 million and 1.56 GB
lora-15	Invented worked example: a 512 x 512 projection with r = 8 has 262,144 frozen entries and 4,096 + 4,096 = 8,192 trainable ones (3.125%); 48 such projections give 393,216 adapter parameters against 12,582,912 frozen and 1,572,864 bytes	observed	arXiv:2106.09685	§4.1	the book's own numbers, labelled as an example in the prose
lora-16	Raschka's example: a 25 x 50 update with inner dimension 5 gives factor sizes 125 and 250, 375 in total	disputed	raschka-qai	pp. 141–142	the local Leanpub version dated 2023-05-21 prints the product 25 x 50 as 6,250 (printed page 137, physical page 142); the product is 1,250; the essay gives 1,250 and says the page differs; the page's pseudo-code also shows a scalar on the low-rank term
lora-17	Optimisers of the Adam family keep running state per parameter and so use more memory than plain gradient descent, as reported	reported	course-6100015	07-12	
lora-18	Exercise result (PyTorch 2.14, CPU, seed 0): a 64 × 64 linear layer with a rank-4 adapter has 512 trainable and 4,160 frozen parameters; W's gradient stays None; loss on a rank-1 target change falls from 69.6 to 0.0000 by step 500; the adapter state dict is A (4, 64) and B (64, 4), 2,048 bytes; merged and unmerged outputs differ by 9.5e−6	observed	arXiv:2106.09685	§4.1	run with workspace/lora-is-a-low-rank-diff/lora_torch.py; output in corpus/lora-is-a-low-rank-diff/run.log; the earlier numpy rank-ceiling experiment (0.000 / 0.780) was replaced at the author's request
lora-19	A product B·A with inner dimension r has rank at most r: it is the sum of r outer products, each a column of B times a row of A	observed	arXiv:2106.09685	§4.1	linear algebra the reader can check on the 2 x 2 case in the essay
lora-20	Scale values alpha / r for the reported settings: 16/8 = 2, 16/64 = 0.25, 64/32 = 2, 512/256 = 2	observed	arXiv:2106.09685	§4.1	settings from lora-04 and lora-12
lora-21	The light training run uses a 20,000-row training set with r = 32; the heavy run uses 800,000 rows with r = 256 and the MLP layers added, as reported	reported	course-6100015	07-06	20,000 stated in 07-05 as the light-mode data size; 800,000 in 07-06
lora-22	Invented rank-1 example: A = [1, 0, −1, 2], B = [1, 2, 0, 1]ᵀ; B·A has rows 1×A, 2×A, 0×A, 1×A; for x = (1,1,1,1), A·x = 2 and B·(A·x) = (2, 4, 0, 2), equal to the row sums of B·A	observed	arXiv:2106.09685	§4.1	the book's own arithmetic, checkable by hand on the page
lora-23	PEFT configuration fields r, lora_alpha, lora_dropout and target_modules correspond to the rank, the scale, the dropout on the adapter input and the wrapped layers; the rank-32 attention-only setup uses alpha 64 and dropout 0.1	reported	course-6100015	07-11	API names as of the course's library versions; snippet captioned illustrative, not executed
