claim_id	paraphrase	label	source	locator	note
learned-01	A linear model y = m·x + c has one weight m and one bias c; with eight input features it has eight weights and one bias, nine trainable parameters	reported	course-4735368	03-05	the lecture's model summary shows 9 trainable parameters for 8 features
learned-02	The normalisation layer's mean and spread are computed from the data before training and listed as non-trainable parameters; they are part of the model the lecture builds	reported	course-4735368	03-05	supports the closing point that the shipped artefact is weights plus fitted preprocessing
learned-03	Mean squared error: for each row the difference between prediction and actual, squared, averaged over rows; worked on a four-element example giving 0.5	reported	course-4735368	03-06	the essay uses its own three-point example, not the lecture's
learned-04	Squaring makes a large error count far more than a small one, so an outlier pulls the fit; mean absolute error and the Huber loss are the alternatives	reported	course-4735368	03-06	used only as a one-sentence limit; the loss-choice mechanism belongs to no other essay in the catalog
learned-05	The update rule: new weight = old weight − learning rate × the partial derivative of the loss with respect to that weight, applied to every parameter, repeated over many steps	reported	course-4735368	03-07	the lecture illustrates 0 − 0.1 × (−20) = 2 and small successive steps
learned-06	The slope of the loss is large far from the best value and small near it, so the loss drops fast early and slowly later; a too-large learning rate overshoots to the other side, a too-small one makes progress slow	reported	course-4735368	03-07	
learned-07	Adam and its variants are flavours of stochastic gradient descent with more settings; the default learning rate in the lecture's library is 0.001	reported	course-4735368	03-07	as of the course's TensorFlow version; the essay mentions Adam only as a variant
learned-08	The lecture's own run drops the loss from 308,519 to 308,485 over ten epochs	reported	course-4735368	03-07	not used in the prose; recorded so it is not mistaken for the book's number
learned-09	Held-out data is split off before training so the model is judged on rows it has not seen; the normaliser is adapted on the training split only	reported	course-4735368	03-09	used for one sentence on what the loss number does and does not tell you
learned-10	If the learning rate is too small the algorithm needs many iterations; if too high it can jump across the valley and diverge with larger and larger values	reported	geron-pytorch	p. 173	physical page; printed page 143
learned-11	The mean-squared-error cost of a linear model is convex with a single global minimum and a slope that never changes abruptly, so gradient descent with a not-too-high learning rate approaches it	reported	geron-pytorch	p. 174	physical page; printed 144
learned-12	A partial derivative is how much the cost changes when one parameter changes a little; the gradient vector collects them, points uphill, and the step subtracts learning rate × gradient	reported	geron-pytorch	pp. 175–176	physical pages; printed 145–146; Equation 4-8
learned-13	With three learning rates on the same problem: too low converges slowly, a good one converges in a few epochs, too high diverges and gets further from the solution at every step	reported	geron-pytorch	p. 177	physical page; printed 147; Figure 4-8
learned-14	Invented worked example: points (1,2), (2,4), (3,6); model y = m·x + c from m = 0, c = 0; mean squared error 56/3 = 18.667; gradients −18.667 for m and −8 for c	observed	course-4735368	03-06	the book's own arithmetic, recomputable on the page
learned-15	One step at learning rate 0.05 gives m = 0.9333, c = 0.4 and loss 3.763; after 200 steps m = 1.9711, c = 0.0656, loss 0.000618	observed	course-4735368	03-07	run with workspace/model-is-a-learned-function/exercise.py (plain Python 3); output in corpus/model-is-a-learned-function/run.log
learned-16	At learning rate 0.5 the same start gives m = 9.333, c = 4 and loss 384.3 after one step, 7,942 after two, 164,200 after three; the loss passes a million at step 4	observed	geron-pytorch	p. 173	the book's own run; the divergence the page describes, on the essay's numbers
learned-17	At learning rate 0.005 the loss after 200 steps is 0.048 (m = 1.745, c = 0.580), against 0.00062 at 0.05	observed	geron-pytorch	p. 173	the book's own run of the exercise script with lr = 0.005; the too-small case the page describes
learned-18	With the third point changed to (3, 12) and learning rate 0.05 the loss flattens at 2.03 after 200 steps (m = 4.80, c = −3.54) and at 2.00 after 2,000 (m = 5.00, c = −4.00)	observed	course-4735368	03-06	the book's own run; the least-squares line for those three points
