claim_id	paraphrase	label	source	locator	note
thaw-01	A pretrained convnet splits into a feature extractor (early layers generic, later layers higher-level) and a classifier head; transfer learning keeps the extractor and replaces the head with one sized for the new classes	reported	course-4735368	13-01	
thaw-02	Reuse the lower layers of a network trained on a similar task and replace the output layer; the more similar the tasks, the more layers to reuse	reported	geron-pytorch	pp. 413–414	printed pp. 383–384
thaw-03	A randomly initialised new output layer makes large errors at first, and the large error gradients can wreck the reused weights, so the reused layers are frozen for the first epochs	reported	geron-pytorch	p. 415	printed p. 385
thaw-04	In PyTorch, freezing is setting requires_grad to False on the reused parameters so gradient descent does not modify them	reported	geron-pytorch	p. 414	also p. 492 (freeze every parameter, then unfreeze the head)
thaw-05	After the head has trained, unfreeze the reused layers, lower the learning rate and continue training; a factor of 10 is typical; unfreezing can go gradually from the top	reported	geron-pytorch	pp. 416, 492–493	printed pp. 386, 462–463
thaw-06	Fine-tuning updates the backbone with a very small learning rate so weights that took long to reach are not disrupted; thawing at the unchanged learning rate collapsed validation accuracy, dividing it by 100 recovered and slightly improved it	reported	course-4735368	13-02	13-01 gives the small-learning-rate reason; figures (about 70% -> 33%, then 72.2%) are the lecturer's and are not used in the essay
thaw-07	Batch norm computes the mini-batch mean and variance, subtracts the mean, divides by the square root of variance plus a small epsilon, then multiplies by a learned scale gamma and adds a learned shift beta	reported	geron-pytorch	p. 406	Equation 11-4 (printed p. 376); course-4735368 12-03 gives the same algorithm and the gamma/beta argument
thaw-08	Gamma and beta are trainable and can undo the normalisation if that is optimal	reported	course-4735368	12-03	
thaw-09	PyTorch BatchNorm1d default eps is 1e-5 and default momentum is 0.1; running estimates are kept during training and used for normalisation in evaluation	reported	https://pytorch.org/docs/stable/generated/torch.nn.BatchNorm1d.html	docstring	read from the installed torch 2.14.0+cpu docstring, as of 2026-09-13
thaw-10	PyTorch's running-statistic update is new = (1 - momentum) x old + momentum x batch value; this momentum is not the optimiser's momentum	reported	https://pytorch.org/docs/stable/generated/torch.nn.BatchNorm1d.html	docstring note	torch 2.14.0+cpu, as of 2026-09-13; geron-pytorch p. 409 prints the same moving-average rule but the PDF text layer drops the hat marks, so the extracted equation is ambiguous; the essay follows the PyTorch docstring and the script confirms it (0.2 after one batch)
thaw-11	PyTorch normalises in training mode with the biased batch variance but stores the unbiased estimate in the running variance	reported	https://pytorch.org/docs/stable/generated/torch.nn.BatchNorm1d.html	docstring	torch 2.14.0+cpu, as of 2026-09-13
thaw-12	Most implementations estimate the inference-time mean and variance as a moving average during training, PyTorch does so automatically, and the estimates are used once the model is switched to eval()	reported	geron-pytorch	p. 407	printed p. 377
thaw-13	Batch statistics are unreliable when batches are small or not independent; smaller momentum suits small batches	reported	geron-pytorch	pp. 406, 409	printed pp. 376, 379
thaw-14	A BatchNorm1d layer has parameters weight and bias (gamma, beta) and buffers running_mean, running_var and num_batches_tracked	observed	geron-pytorch	p. 409	confirmed in run.log line 4
