claim_id	paraphrase	label	source	locator	note
worth-01	The return from time t is the sum of the rewards collected from t until the episode ends; the goal of a control task is to maximise its expected value	reported	course-3725442	02-05	
worth-02	A discount factor gamma between 0 and 1 multiplies each later reward by one more power of gamma, so a reward collected sooner is worth more	reported	course-3725442	02-06	same definition in lapan-drl ch. 5 'Value, state, and optimality' (V(s) as expected discounted sum) and ch. 11 'The REINFORCE method' (discounted total reward for later steps)
worth-03	The discounted return can be computed backwards from the end of the episode: the last step's return is its reward, each earlier return is its reward plus gamma times the next return	reported	lapan-drl	unknown	EPUB; ch. 11 'The REINFORCE method', calc_qvals description; formula image eq40 (sum over i of gamma^i r_i)
worth-04	The Q-value of a state and action is the return expected from taking that action in that state and then following the policy to the end	reported	course-3725442	02-08	
worth-05	A Monte Carlo method plays an episode to its end, computes the return from each visited state or state-action pair, and sets the estimate to the average of all returns observed from it; one estimate does not depend on any other	reported	course-3725442	04-01	
worth-06	A constant-alpha variant of Monte Carlo moves the old estimate a fraction alpha of the way toward each newly observed return instead of storing every return	reported	course-3725442	04-09	the rule is spoken in words (add alpha times the difference between observed return and old estimate); the essay writes it as Q <- Q + alpha(G - Q)
worth-07	Monte Carlo methods must wait until the episode ends because the return needs every later reward; temporal-difference methods update after every action	reported	course-3725442	05-01	05-03 shows the maze table unchanged under Monte Carlo after 1, 5 and 120 actions of an unfinished episode, while TD changes it after the first action
worth-08	Bootstrapping means updating an estimate using another estimate; temporal-difference methods take this from dynamic programming	reported	course-3725442	05-01	lapan-drl ch. 6 'Correlation between steps' uses the same word for obtaining Q(s,a) from Q(s',a')
worth-09	Tabular Q-learning takes a transition (s, a, r, s') and blends the old Q(s,a) with r plus gamma times the largest Q-value in s', using a learning rate alpha between 0 and 1: Q(s,a) <- (1 - alpha) Q(s,a) + alpha (r + gamma max over a' of Q(s',a'))	reported	lapan-drl	unknown	EPUB; ch. 6 'Tabular Q-learning', formula images eq18 and eq19; the essay writes the algebraically equal form Q + alpha(target - Q), which is also the TD-error form of course-3725442 05-02
worth-10	When the step ends the episode the target is the reward alone, with no next-state term	reported	lapan-drl	unknown	EPUB; ch. 6 'The final form of DQN training', formula images eq22 and eq23
worth-11	Q-learning is off-policy: the update uses the greedy action (the maximum estimated Q) in the next state, while a separate exploratory behaviour policy chooses the actions actually taken	reported	course-3725442	05-08	10-01 repeats it for deep Q-learning
worth-12	REINFORCE, the basic policy-gradient method, plays full episodes and scales each action's update by the actual return from that step, with no bootstrapping	reported	course-3725442	11-05	lapan-drl ch. 11 'The REINFORCE method' and 'Full episodes are required' say the same
worth-13	Policy-gradient methods output a probability for each action, while value-based methods act by picking the action with the highest estimated Q-value	reported	course-3725442	11-01	
worth-14	REINFORCE is on-policy: it cannot train on data produced by an older policy, so it uses no replay buffer	reported	lapan-drl	unknown	EPUB; ch. 11 'The REINFORCE method', list of differences from Q-learning
worth-15	With a neural network in place of the table, a gradient step for one state also changes the estimates for similar states, and the next state is usually similar, so the target moves as the estimate moves; the fix is a frozen copy of the network used only for targets and re-synchronised periodically	reported	course-3725442	09-04	lecture describes it for deep SARSA; lapan-drl ch. 6 'Correlation between steps' gives the same mechanism and fix for DQN, syncing every N steps
worth-16	A replay memory is a bounded store of (s, a, r, s') transitions, oldest evicted first, from which a random batch is drawn for each network update	reported	course-3725442	09-03	lecture describes it for deep SARSA; lapan-drl ch. 6 'SGD optimization' motivates it by consecutive samples not being independent; 10-01 uses both for deep Q-learning
worth-17	The bootstrapped term can be biased while the estimates are still wrong; a full return is a sum of many random rewards and so has high variance	inferred	course-3725442	06-03	the lecture frames it for n-step returns; the essay applies the two ends (one step, full episode) to TD and Monte Carlo
worth-18	Four-state chain, rewards 0, 0, 0, 1, gamma 0.9: Monte Carlo returns from S3, S2, S1, S0 are 1, 0.9, 0.81, 0.729	observed	course-3725442	02-06	the book's own numbers; the lecture supplies only the rule applied; 0.9 x 1 = 0.9; 0.9 x 0.9 = 0.81; 0.9 x 0.81 = 0.729; run.log Part A episode 1
worth-19	Q-learning with alpha 1 from a zero table on the same always-right episodes gives Q(s, right) after episodes 1-4 of [0,0,0,1], [0,0,0.9,1], [0,0.81,0.9,1], [0.729,0.81,0.9,1]	observed	course-3725442	05-08	the book's own numbers; the lecture supplies only the rule applied; recomputed by hand in the essay table and printed in run.log Part A
worth-20	With alpha 0.5, Q(S0, right) is 0.0456 after episode 4 and first reaches within 10% of 0.729 (at least 0.6561) after episode 12, at 0.6758	observed	course-3725442	05-08	the book's own numbers; the lecture supplies only the rule applied; run.log Part B; episode 4 by hand: 0.5 x 0.9 x 0.10125 = 0.0456
worth-21	With a behaviour that moves right with probability 0.7, over the same 2,000 episodes Q-learning's Q(S0, right) is 0.7286 at episode 100 and 0.7290 at 2,000; first-visit Monte Carlo reads 0.5905, 0.5263, 0.5420, 0.5373 at episodes 1, 10, 100, 2,000; the exact value of the wandering policy is 0.5361	observed	course-3725442	04-01	the book's own numbers; the lecture supplies only the rule applied; run.log Part C; torch.manual_seed(0), PyTorch 2.14.0+cpu; 0.5905 = 0.9^5, i.e. six steps from the first right move at S0 to the end, two more than the direct four
worth-22	In DQN code the next-state values come from the target network and are detached so no gradient flows into it, and terminal transitions have their next-state value set to zero	reported	lapan-drl	unknown	EPUB; ch. 6 'Training' (calc_loss: tgt_net, detach(), dones mask)
