claim_id	paraphrase	label	source	locator	note
ppo-01	Online policy-gradient methods learn from a batch of experience once and then discard it, which wastes what the samples could still teach	reported	course-4635836	12-01	
ppo-02	Reusing one batch for many learning steps fits the policy to those samples; in the extreme the policy collapses, picking bad actions that lead to bad states where it stays for a long time	reported	course-4635836	12-01	the lecture's name for the extreme case is policy collapse
ppo-03	Unlike supervised learning, where the training data is fixed, a bad policy step in reinforcement learning makes the policy collect worse data, which can make recovery very hard or impossible	reported	course-4635836	11-02	
ppo-04	The two problems trust-region methods address are sample efficiency and the reliability of each improvement step	reported	course-4635836	11-01	
ppo-05	A trust-region method draws a bound around the current policy and looks for a better policy inside it; in practice the bound is a limit on the KL divergence between old and new policy, averaged over samples	reported	course-4635836	11-06	11-03 introduces the bound; 11-06 turns it into a max-KL then mean-KL constraint
ppo-06	When a batch is collected, the probability of each taken action is stored; on every later pass the ratio of the current probability to the stored one is formed	reported	course-4635836	12-01	lecture example 30% to 60% gives ratio 2 with eps 0.3; not used in the prose
ppo-07	The clipped objective is the expectation over samples of min(r·A, clip(r, 1 − eps, 1 + eps)·A) with r the ratio of the current to the old policy probability of the taken action	reported	lapan-drl	unknown	EPUB chapter 16 Trust region methods, section PPO, displayed equations for J_clip and r_t(theta); same as arXiv:1707.06347 §3 eq. 7
ppo-08	Maximising the unclipped r·A without any constraint produces an excessively large policy update	reported	arXiv:1707.06347	§3	also lapan-drl chapter 16 PPO section: blind maximisation gives very large weight updates
ppo-09	Clipping the ratio removes the incentive to move it outside [1 − eps, 1 + eps]; taking the minimum makes the objective a pessimistic lower bound on the unclipped one, so a ratio change is ignored only when it would improve the objective	reported	arXiv:1707.06347	§3	paper fetched to workspace/ppo-clips-the-step/ (v2)
ppo-10	PPO was introduced with eps = 0.2 as the example value of the clip parameter; a PyTorch implementation uses the same value	reported	arXiv:1707.06347	§3	paper: 'say, eps = 0.2'; lapan-drl chapter 16 PPO_EPS = 0.2; the lecture's slide example uses 0.3 (12-01), not used
ppo-11	The PPO loop: run the current policy for a fixed number of steps, compute advantage estimates, optimise the clipped objective for K epochs over minibatches of that data, then make the optimised policy the new old policy	reported	arXiv:1707.06347	§5 Algorithm 1	12-01 shows the same pseudocode
ppo-12	A standard implementation collects 2,049 steps, then runs 10 epochs over them in minibatches of 64, normalising advantages to mean 0 and standard deviation 1	reported	lapan-drl	unknown	EPUB chapter 16, PPO Implementation section: TRAJECTORY_SIZE 2049, PPO_EPOCHES 10, PPO_BATCH_SIZE 64; one entry is dropped so the advantages are one step shorter
ppo-13	In code the ratio is computed as the exponential of the current log-probability minus the stored log-probability, and the policy loss is the negative mean of the minimum of the two surrogate terms	reported	lapan-drl	unknown	EPUB chapter 16 PPO Implementation actor code; 12-06 computes it the same way
ppo-14	The advantage estimate says whether the taken action turned out better or worse than the value estimate expected; the one-step form is reward plus discounted next-state value minus current-state value	reported	course-4635836	13-01	12-06 uses this TD-residual form, detached from the gradient
ppo-15	The total policy loss in a typical implementation subtracts an entropy bonus, scaled by a coefficient, to keep exploration up	reported	course-4635836	12-06	12-05 lists the entropy coefficient among the hyperparameters
ppo-16	Worked example row 1: pi_old 0.30, pi_new 0.60, A = +1, eps 0.2: r = 2, clipped 1.2, terms 2 and 1.2, min 1.2 from the clipped term, zero gradient	observed	arXiv:1707.06347	§3	book's own invented numbers; run.log line 1
ppo-17	Worked example row 2: same probabilities, A = −1: terms −2 and −1.2, min −2 from the unclipped term, live gradient	observed	arXiv:1707.06347	§3	run.log line 2
ppo-18	Worked example row 3: pi_old 0.50, pi_new 0.35, A = −1: r = 0.7, clipped 0.8, terms −0.7 and −0.8, min −0.8 from the clipped term, zero gradient	observed	arXiv:1707.06347	§3	run.log line 3
ppo-19	Worked example row 4: same probabilities, A = +1: terms 0.7 and 0.8, min 0.7 unclipped, live gradient	observed	arXiv:1707.06347	§3	run.log line 4
