claim_id	paraphrase	label	source	locator	note
aug-01	A three-class facial-expression classifier (angry, happy, sad) is the case used for the rotation failure	reported	course-4735368	11-02	dataset introduced in 11-02; augmentation applied in 11-04
aug-02	Adding random rotation, random flip and random contrast to the training pipeline made the classifier worse: validation accuracy fell from 75% to 54%	reported	course-4735368	11-04	top-k accuracy also fell, 90% to 83% (not used); the augmentation was mapped onto the training set only
aug-03	The drop came from rotations that turned faces to angles, including upside down, that the validation and test images never show	reported	course-4735368	11-04	shown by visualising augmented batches
aug-04	After limiting the rotation to plus or minus 9 degrees, validation accuracy reached about 78%, above the unaugmented run	reported	course-4735368	11-04	best epoch about 78%; evaluation 77.8%; top-k 91% (not used); 20 epochs
aug-05	The Keras RandomRotation factor is a fraction of a full turn, so 0.25 is 90 degrees and 0.025 is 9 degrees	reported	course-4735368	11-04	Keras API as of the course's recording; the essay states the conversion as arithmetic (0.25 x 360 = 90; 0.025 x 360 = 9) and names no framework for the fraction convention. The factor value in the original failing stack is not shown clearly on screen; the essay says only that the rotation range allowed faces to be turned far enough to lie sideways or upside down
aug-06	Transforms are best added one at a time and kept only if validation improves; no fixed stack works for every dataset	reported	course-4735368	11-04	advice given before the first augmented run
aug-07	Augmentation is applied to the training data only; validation data is left untouched	reported	course-4735368	11-04	also geron-pytorch p. 469 (augmentation normally training-only, test-time augmentation the exception)
aug-08	Each transform in a pipeline carries its own probability p of being applied to an image; p = 0.3 means roughly 3 images in 10 are transformed and 7 pass through unchanged; a transform with no probability is always applied	reported	course-4735368	08-05	lecture example 10,000 images, about 3,000 augmented; the essay uses its own numbers
aug-09	Choose transforms by whether they remove the information that separates the classes: rotation is safe for blood-cell images (parasitized vs uninfected) because it keeps the distinguishing regions; cropping is avoided because it can cut them out	reported	course-4735368	08-05	Albumentations library as of the course's recording; the library is not named in the essay
aug-10	Grid shuffle cuts an image into cells (e.g. 3 x 3) and permutes them; cutout blanks out rectangular holes	reported	course-4735368	08-05	used for the audit table's transform list
aug-11	Always look at a batch of augmented outputs before training on them	reported	course-4735368	08-05	also 11-04, where visualising revealed the upside-down faces
aug-12	For object detection and segmentation a spatial transform must be applied to the bounding boxes or masks as well as the image	reported	course-4735368	08-05	one sentence in the limits
aug-13	Single-image transforms keep the label because the image still belongs to its class; mixup blends two images and must blend the labels too	reported	course-4735368	08-03	one sentence in the limits; mixup/cutmix are not a mechanism of this essay (catalog mechanism line updated 2026-09-13)
aug-14	Augmented variants should be realistic: ideally a person could not tell an augmented image from an original; random white noise does not help	reported	geron-pytorch	p. 468	printed page 438, "Data Augmentation" sidebar in chapter 12
aug-15	Horizontal flips are generally usable except for text and other asymmetrical objects	reported	geron-pytorch	p. 468	printed page 438
aug-16	A torchvision.transforms.v2 training pipeline composes RandomHorizontalFlip(p=0.5), RandomRotation(degrees=30), RandomResizedCrop, ColorJitter, then ToImage, ToDtype(float32, scale=True) and Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225]), with augmentation before normalisation	reported	geron-pytorch	pp. 492–493	physical pages; the six normalisation constants appear in the listing on p. 493 (checked by pdftotext)s 462–463; API as of the book's edition; the essay's illustrative snippet changes degrees to 10 and drops the crop and colour lines; not executed (torchvision not installed)
aug-17	Three independent transforms each at p = 0.5 leave an image untouched with probability 0.5 x 0.5 x 0.5 = 0.125	observed	course-4735368	08-05	the book's own numbers; the book's own arithmetic, on the page
aug-18	1,000 images for 20 epochs is 20,000 presentations: 2,500 untouched originals and 17,500 variants; any one transform at p = 0.5 touches about 10,000 of them	observed	course-4735368	08-05	1,000 x 20 = 20,000; 20,000 x 0.125 = 2,500; 20,000 - 2,500 = 17,500; 20,000 x 0.5 = 10,000; the book's own arithmetic, on the page
aug-19	torch.flip with dims=[-1] reverses column order: the 3 x 3 hook [[1,1,1],[1,0,0],[1,0,0]] becomes [[1,1,1],[0,0,1],[0,0,1]]	observed	geron-pytorch	p. 468	printed by exercise.py lines 1–2 of output; the book's own run: workspace/augmentation-declares-invariance/exercise.py, output in corpus/augmentation-declares-invariance/run.log
aug-20	Exercise, shape task (flip is a true invariance; training glyphs all face right, validation faces both ways): validation accuracy 0.762 without flip, 1.0 with flip; on left-facing images 0.531 without, 1.0 with	observed	geron-pytorch	p. 468	PyTorch 2.14 CPU; seed 1 per run; seeds 2–5 give 0.818/0.695/0.73/0.709 without flip and 1.0 with flip in all four; the book's own run: workspace/augmentation-declares-invariance/exercise.py, output in corpus/augmentation-declares-invariance/run.log
aug-21	Exercise, facing task (the label is the facing direction): validation accuracy 1.0 without flip, 0.492 with flip; on left-facing images 1.0 without, 0.513 with	observed	geron-pytorch	p. 468	seeds 2–5 give 0.979/0.954/0.969/0.994 without flip and 0.535/0.491/0.502/0.508 with flip; the book's own run: workspace/augmentation-declares-invariance/exercise.py, output in corpus/augmentation-declares-invariance/run.log
aug-22	Audit table verdicts (faces, cell microscopy, handwritten digits, road signs against five transforms) are the book's own judgement	hypothesis	course-4735368	08-05	prose labels the table as a starting point to check against the data; cell and face rows draw on aug-03 and aug-09; digits and signs rows on aug-15; the book's own judgement
aug-23	In torchvision.transforms.v2.RandomRotation a single number d for degrees means the angle is drawn from the range -d to +d degrees	reported	https://docs.pytorch.org/vision/stable/generated/torchvision.transforms.v2.RandomRotation.html	degrees parameter	fetched 2026-09-13, stable docs as of that date; the page does not state the sampling distribution, so the essay says only "drawn from the range"
aug-24	Exercise variation: with the shape task trained on both facings, validation accuracy is 1.0 without and with the flip	observed	geron-pytorch	p. 468	the book's own run: exercise.py with the train-only right-facing branch disabled, seed 1; not saved to run.log (one-line variation)
