claim_id	paraphrase	label	source	locator	note
kra-01	A deployed model is code plus data; if the data behind it is not versioned, the deployment is not versioned and earlier performance cannot be recovered.	reported	burkov-mle	77	Section 3.11.3 Level 0 of data versioning; topic 1.
kra-02	A pipeline of fitted transformations ending in a model is what gets saved, deployed and scored, so from that point the word model means the whole pipeline.	reported	burkov-mle	139–140	PCA then SVC example; topic 1.
kra-03	Training data, feature extractor and model carry one version number together; the deployment is scripted as a transaction and rolled back if an end-to-end example fails or the metric on a confidence set leaves its acceptable range.	reported	burkov-mle	235–236	Version sync and model accompanying assets; topic 1 and 6. p. 236 also lists output list, how to consume outputs and scoring code as required version metadata.
kra-04	A served model should not be overwritten: each release is stored under its own version (timestamp, major.minor.build or commit hash) so a failed release can be rolled back.	reported	openshift-mlops	155	Printed page 138. Rollback pipeline that deploys any stored version on p. 170; topic 1.
kra-05	Loading a saved scikit-learn pipeline in production first requires importing the custom classes and functions it uses, so the code has to ship with the file.	reported	geron-pytorch	131	Printed page 101; topic 1.
kra-06	Keep a backup of every model and every dataset version and have a quick way to roll back to the previous model.	reported	geron-pytorch	133	Printed page 103; topic 1.
kra-07	Changing a model without bumping its version is an antipattern, and the same holds for preprocessing, postprocessing and data IO; even a dependency update can change results.	reported	ml-system-design	§13.1 API design	EPUB, cite by section; topic 1.
kra-08	In the ONNX export lesson the file holds the graph from a pixel tensor to logits plus the weights; resizing, channel reordering and rescaling are rewritten by hand outside it, and the class index to name mapping is not read from the file.	inferred	course-4735368	18-02	Lines 57–94 export; 111–171 hand preprocessing; 223–244 index 0 healthy, 2 rusty. Topic 1.
kra-10	Natural labels let a system score its own predictions later; the feedback loop length is the time from serving a prediction to receiving feedback on it, ranging from seconds to weeks.	reported	huyen-dmls	318	Early Release PDF; topic 2.
kra-11	With no explicit negatives, an item not clicked within a window is presumed negative; a short window gives labels sooner but mislabels late positives, and a Twitter ads study found most clicks in the first 5 minutes but some hours later, so measured CTR runs low.	reported	huyen-dmls	318	Twitter figures reported by Huyen; topic 2. Selective review in the chapter is a stronger case: unreviewed listings never get a label.
