claim_id	paraphrase	label	source	locator	note
apa-01	vLLM introduces itself, as of the recording, with a feature list: serving throughput, paged attention for key/value memory, continuous batching, CUDA graphs, quantisation, optimised attention kernels, speculative decoding and chunked prefill	reported	course-6538601	04-01	lines 3–10; the transcript renders chunked prefill as "Chongqing prefilled" and vLLM as "VLM"
apa-02	Installation is pip install vllm; the quick start is a list of prompts, an LLM object from a model identifier, and a generate call	reported	course-6538601	04-01	lines 14–22
apa-03	The vLLM server is OpenAI-compatible: a client written for that API is pointed at a new base URL and key and queried in the same format	reported	course-6538601	04-01	lines 23–28 and 160–175
apa-04	RunPod serverless vLLM template: Hugging Face model id, an access token for gated models, the engine version, settings left at defaults; the platform picks a GPU that fits the model; max workers set to two; active workers left at zero, which the console says reduce cold-start time	reported	course-6538601	04-01	lines 33–75
apa-05	Deploying needs at least ten dollars of balance; under one dollar the platform refuses	reported	course-6538601	04-01	lines 76–80
apa-06	The health page shows jobs (completed, failed, in progress, in queue, retry) and workers (idle, initialising, running, throttled, unhealthy)	reported	course-6538601	04-01	lines 82–88
apa-07	The first deployment's workers went unhealthy because the model was gated and no token was given; a redeploy with the token fixed it	reported	course-6538601	04-01	lines 100–135
apa-08	The first successful request had to download the weights before serving; the same question a second time returned in 1.2 seconds	reported	course-6538601	04-01	lines 93–99 and 136–150; one anecdotal timing
apa-09	The lecture's request: a system message and a user message, temperature 0.7, max_tokens 1000; a limit of 100 cut an answer off mid-sentence; temperature 0.1 gave a narrower answer than 1.0 to the same question	reported	course-6538601	04-01	lines 160–175, 212–222 and 224–245
apa-10	The first remote call to the fine-tuned pricer on a T4 took about 1 min 20 s, mostly loading; the next 1 min 8 s; a deployed version 1 min 5 s	reported	course-6100015	08-05	lines 1–13, 53–59 and 133–135; one session, one machine
apa-11	modal deploy <module> publishes a module; a handle is looked up by name and called with .remote	reported	course-6100015	08-05	lines 90–120
apa-12	A persistent volume mounted at the model library's cache directory keeps the weights between containers; as a class with a method run once at container start, the cold start fell to about 30 s; a warm call is almost immediate	reported	course-6100015	08-05	lines 158–212
apa-13	The platform sleeps an idle container after two minutes; waking reloads the model into memory, about 30 s, because the volume caches on disk not in memory; remedies: keep at least one container alive (costs more) or extend the idle window to 20 minutes	reported	course-6100015	08-05	lines 236–258
apa-14	Inference should see the format training saw: the lecture preprocesses the request into the training format before sending it; in its one example the answer did not change	reported	course-6100015	08-05	lines 20–70
apa-15	PagedAttention partitions the KV cache into blocks (pages) reached through a lookup table, so the cache can use fragmented memory instead of one contiguous block; FlashAttention removes excess memory reads and writes inside attention	reported	inference-eng	70	printed p. 68 §2.5
apa-16	Speculative decoding spends the arithmetic idle during memory-bound decode: a speculator drafts tokens, the target verifies them in one pass, accepts the matching prefix and adds one token, N + 1 tokens per pass; it improves tokens per second and inter-token latency, not time to first token	reported	inference-eng	131	printed p. 129 §5.2
apa-17	The uplift depends on draft-token cost, draft length and acceptance rate; acceptance is high early in the draft and falls deeper; once a draft token is rejected the rest are discarded; higher temperature lowers acceptance; most useful at low batch and dynamically disabled when compute is saturated	reported	inference-eng	132–133	printed pp. 130–131
apa-18	Draft-target speculation: the draft model is usually a smaller member of the target's family, at least ten times smaller by parameter count; it costs memory for its weights, activations and KV cache and compute for its prefill, the most overhead of the speculation methods	reported	inference-eng	133–134	printed pp. 131–132 §5.2.1
apa-19	A cold start is GPU procurement, image loading, model loading and engine start-up (compilation for compiling engines); loading is bytes over bandwidth, so smaller (quantised) weights load faster; vLLM and SGLang start fast, compiled engines take minutes unless cached	reported	inference-eng	190–192	printed pp. 188–190 §7.2.2
apa-20	vLLM's --max-num-seqs caps the requests batched together (decode parallelism) and --max-num-batched-tokens caps the tokens per iteration (prefill); the book's example sets 4096 and 128; too low a token cap leaves compute unsaturated in prefill	reported	llm-serving	§6 Continuous Batching for LLM Online Inference	Example 6-1 and Figure 6-5
apa-21	Chunked prefill splits a new prompt into decode-sized chunks so decoding requests keep receiving tokens while the prompt is processed	reported	llm-serving	§6 Continuous Batching with Chunked Prefill	Figures 6-6 to 6-9
apa-22	Appendix arithmetic (2026-09-22): 7.0 GB of weights at two bytes is 1.75 GB at half a byte, a quarter of the load time on the same link; 28 tokens/s is one step every 36 ms; a draft model a tenth of the target's size is 0.7 GB of the 15.8 GB free; the week 37 card holds 48 requests' caches (chapter 7), below a cap of 128	observed	inference-eng	190	the appendix's own arithmetic on chapter 7's report lines (corpus/serve-the-assistant-cheaply, sac-48 and sac-49)
