claim_id	paraphrase	label	source	locator	note
dsn-01	Start with non-ML options (existing solutions, plain code, then traditional ML) and build a baseline before anything fancier; sometimes the baseline already solves the problem	reported	course-6100015	06-07	lines 52-60; the lecturer's five-step strategy, step two
dsn-02	Before ML, the first attempt at a prediction should be the simplest heuristic; the three most common English letters predict the next letter about 30% of the time	reported	huyen-dmls	226	phase 1 of four phases of ML adoption; the 30% is an illustration
dsn-03	A zero-rule baseline always predicts the most common class; if it is right 70% of the time a model must beat it clearly to justify its complexity	reported	huyen-dmls	236	the 70% next-app example is Huyen's illustration; simple-heuristic and human baselines on the same page, heading of the list on p. 235
dsn-04	A human baseline matters even when the system only assists people, because it says where the system is useful	reported	huyen-dmls	236	item 4 of the baseline list
dsn-05	Rules can label data well, but they do not cover every sample; a model is trained to reach the samples no rule reaches	reported	huyen-dmls	115	the answer to "why train a model if heuristics work"
dsn-06	A labelling function encodes a heuristic (keyword, regex, lookup, another model's output); such rules are noisy, can conflict, and can be versioned and shared	reported	huyen-dmls	110-111	weak supervision via Snorkel; a few hand labels still recommended to measure rule accuracy
dsn-07	The course's price data splits into 800,000 training, 10,000 validation and 10,000 test items; the evaluator scores the first 200 test items by default	reported	course-6100015	06-13	lines 25-29 and 71-79
dsn-08	A pricer that returns a random number from 1 to 999 is off by $382.08 on average, with a stated 95% interval of about plus or minus $37 on 200 items	reported	course-6100015	06-13	lines 154-164 and 200-202; the only rung with a stated interval
dsn-09	Always guessing the training mean is off by $106.18	reported	course-6100015	06-14	lines 46-49; the mean is given as $140.56 (line 16) and $140.57 (line 35)
dsn-10	Linear regression on three weak features (weight, weight-unknown flag, summary length) is off by $101.56	reported	course-6100015	06-14	lines 91-106 and 142-144
dsn-11	Linear regression on a 2000-word bag of words is off by $76.81	reported	course-6100015	06-15	lines 20-22 and 106-113; R squared 41.8% at line 115
dsn-12	A random forest of 100 trees, trained on a subset of the data, is off by $72.28	reported	course-6100015	06-16	lines 5-6, 26 and 41-44
dsn-13	XGBoost with 1000 estimators on the full data is off by $68.23	reported	course-6100015	06-16	lines 75-80 and 89-92
dsn-14	The lecturer, pricing the first 100 test items by hand, was off by $87.62	reported	course-6100015	06-18	lines 55-58 and 110-113; 100 items not 200; a year earlier 126 on a different set (lines 125-140)
dsn-15	An eight-layer network with 669,000 parameters on 5000 binary word features, two epochs, is off by $63.97	reported	course-6100015	06-19	lines 30-35, 118, 144 and 200-203; trained on the 800,000 items (06-20 line 108)
dsn-16	GPT-4.1 nano with a one-line prompt and no training is off by $62.51, about $1 better than the trained network	reported	course-6100015	06-20	lines 62-64 and 97-106
dsn-17	Claude Opus 4.5 with the same prompt is off by $47.10	reported	course-6100015	06-20	lines 166-173; the caption wavers between 4.5 and 4.7; 06-21 line 157 says "4.5 sonnet"; name is as of the recording
dsn-18	Gemini 3 Pro Preview is off by $50.54, measured on only 50 items because of speed and rate limits	reported	course-6100015	06-21	lines 6-25; lecturer notes wider error bars at lines 154-156 but does not show them
