claim_id	paraphrase	label	source	locator	note
imbal-01	A classifier on a dataset where one class is 95% of rows scores 95% accuracy by always predicting that class; accuracy counts both error types alike so it hides this	inferred	course-4735368	06-02	lecture shows accuracy = (TP+TN)/all treats false negatives and false positives the same; the 95/5 figure is the essay's own arithmetic (95/100)
imbal-02	Under imbalance gradient descent can settle on the heuristic of always predicting the majority class, which already scores high accuracy	reported	huyen-dmls	p. 120	early-release PDF (third release 2022-02-03); the page's example is 99.99% normal X-rays
imbal-03	Overall accuracy and error rate are insufficient under class imbalance because the majority class dominates them; per-class accuracy / recall is the better view	reported	huyen-dmls	pp. 122, 126	early release
imbal-04	A model's training loss is usually the average of per-example losses, so every example counts equally	reported	huyen-dmls	p. 131	early release; the essay derives the consequence (majority owns the sum) itself
imbal-05	Class weighting multiplies the loss for the rare class so mistakes there cost more; weights are 1 / class count scaled by the total number of rows	reported	course-4735368	15-02	lecture's counts 1,525 / 3,019 / 2,255 (total 6,799) and printed weights 4.45, 2.25, 3.01; not used as numbers in the essay
imbal-06	Class-balanced loss in its plain form: weight of class i = N / number of samples of class i, multiplying each instance's loss	reported	huyen-dmls	p. 133	early release; same formula as imbal-05
imbal-07	Resampling changes the training data instead of the loss: oversampling copies minority rows, undersampling removes majority rows; do not evaluate on resampled data; undersampling discards data and oversampling risks fitting replicas	reported	huyen-dmls	p. 130	early release; the lecture 15-02 describes random over- and undersampling the same way
imbal-08	Random oversampling and undersampling described as matching class counts by copying or deleting rows; collecting more data for the small class is the first remedy	reported	course-4735368	15-02	
imbal-09	A confusion matrix tabulates true negatives, false positives, false negatives and true positives at a threshold; recall = TP / (TP + FN)	reported	course-4735368	06-03	06-02 carries the recall formula; 06-03 builds the matrix at threshold 0.5
imbal-10	Choosing the threshold on the score trades false negatives for false positives and is a separate decision	reported	course-4735368	06-02	named in one sentence only; belongs to Part III essay the-model-outputs-a-score
imbal-11	BCEWithLogitsLoss with pos_weight p: per-row loss = -[p·y·log σ(x) + (1-y)·log(1-σ(x))]; pos_weight multiplies only the positive term; mean reduction divides by the number of elements; docstring example 300 negatives / 100 positives gives pos_weight 3	reported	https://docs.pytorch.org/docs/stable/generated/torch.nn.BCEWithLogitsLoss.html	docstring, formula and pos_weight example	as of torch 2.14.0+cpu, read from the installed docstring 2026-09-13; behaviour confirmed in run.log
imbal-12	CrossEntropyLoss(weight=w): per-row loss multiplied by the weight of the row's true class; mean reduction divides by the sum of those weights, not the row count	reported	https://docs.pytorch.org/docs/stable/generated/torch.nn.CrossEntropyLoss.html	docstring, reduction formula	as of torch 2.14.0+cpu, read from the installed docstring 2026-09-13; confirmed in run.log (0.6931 vs 6.9315)
imbal-13	Worked example: 100 rows, 95 negative, 5 positive; inverse-frequency weights 100/95 ≈ 1.053 and 100/5 = 20; each class's weighted row total is 100	observed	course-4735368	15-02	the book's own arithmetic on the lecture's weighting rule, recomputable on the page; own arithmetic
imbal-14	Best constant predictor under unweighted cross-entropy: derivative 95/(1-p) - 5/p = 0 gives p = 0.05; under inverse-frequency weights 100/(1-p) - 100/p = 0 gives p = 0.5; general p* = w_pos·n_pos / (w_pos·n_pos + w_neg·n_neg)	observed	course-4735368	15-02	the book's own arithmetic on the lecture's weighting rule, recomputable on the page; own derivation; confirmed by LBFGS fit in run.log (0.0500 and 0.5000; biases -2.9443 and 0.0000)
imbal-15	Total loss of constant predictors on 95/5 rows: unweighted 19.85, 29.25, 69.31, 154.01 at p = 0.05, 0.2, 0.5, 0.8; inverse-frequency weighted 304.70, 183.26, 138.63, 183.26; per-row losses -ln(1-p) and -ln p	observed	course-4735368	15-02	the book's own arithmetic on the lecture's weighting rule, recomputable on the page; python math, 2026-09-13
