claim_id	paraphrase	label	source	locator	note
apc-01	ONNX is an open format for a model's computational graph, portable across frameworks, operating systems and languages; ONNX Runtime executes such graphs and is given the hardware through an execution provider (CPU or CUDA)	reported	course-4735368	18-02	lines 9–38 and 181–194
apc-02	The recorded export: a dummy input of batch 1, input name pixel_values and output name logits, torch.onnx.export with opset 14, constant folding, and the batch axis declared dynamic for input and output	reported	course-4735368	18-02	lines 56–97
apc-03	The recorded preprocessing is written by hand so the service needs only onnx and onnxruntime, not the training library: resize, to array, transpose to channel-first, add a batch axis, cast to float and divide by 225	reported	course-4735368	18-02	lines 112–172; line 168 divides by 225 where 18-03 line 382 divides by 255; neither applies the processor's normalisation (chapter 5's note, "Source traps")
apc-04	An inference session is created from the file with a providers list; session.run with the named input returns the logits; the argmax matched the PyTorch model's prediction on the recorded images	reported	course-4735368	18-02	lines 173–249
apc-05	The recorded service: a virtual environment with onnx, onnxruntime, FastAPI, python-multipart, numpy and Pillow; the session created once in a lifespan handler, held in a module variable, cleared after yield; preprocessing opens bytes as an image, converts to RGB, resizes, transposes, adds a batch axis and divides by 255	reported	course-4735368	18-03	lines 250–389
apc-06	A POST route reads the upload, preprocesses, runs the session and returns the argmax index; it returns an error if the session is missing; a GET at the root answers that the API is live; the server runs with auto-reload; the upload field appears in the generated docs only once the parameter is declared UploadFile; the test image returned index 0, the healthy class	reported	course-4735368	18-03	lines 390–511
apc-07	The recorded evaluation pushes the model to a hub, draws a confusion matrix with scikit-learn showing no errors on the test set, loads the model back through a pipeline, and builds a Gradio interface: an image upload (PIL type), a label output, a title and a description	reported	course-4735368	17-04	lines 512–695; the 100% test accuracy is the recording's own reading
apc-08	The profiler's overview page splits the average step time into input, compute, compilation and other; in the recorded run input took 68.4% of the step and the first recommendation was to reduce it; 0% of device computation was 16-bit, with mixed precision suggested; the input-pipeline analyzer put the time in the dataset's map and batch stages; a trace viewer shows every operation in one step with a ruler for timing	reported	course-4735368	10-05	lines 696–819
apc-09	The book's export of chapter 5's bundle (2026-09-22): release.pt holds version, categories, classifier (6 tensors), blade_threshold 0.05, autoencoder, alarm_level, 60,741 bytes; classifier.onnx at opset 17 has 7 nodes (Conv, Relu, ReduceMax, Gemm, Flatten, Gemm, Add), 6 weight tensors, input photo, output logits, 38,773 bytes	observed	course-4735368	18-02	run.log; workspace/appendix-c/export.py on chapter 5's release.pt; legacy exporter (dynamo=False)
apc-10	On chapter 5's 500 validation listings (2,000 photos) the largest logit difference between the saved model and the graph is 4.77e-06, the largest blade-score difference 1.19e-07, and both flag 68 listings at 0.05; the same photos scaled by 255/225 flag 61	observed	course-4735368	18-03	run.log; the 255/225 row stages the recordings' slip on chapter 2's photos, which need no rescaling
apc-11	One listing of four photos takes about 0.17 ms through the saved model and about 0.08 ms through onnxruntime on the book's CPU	observed	course-4735368	18-02	run.log (0.193 / 0.084 ms) and a second run (0.165 / 0.083 ms); measured, varies
