claim_id	paraphrase	label	source	locator	note
stc-01	A model is trained by repeatedly moving each weight against the loss's derivative, scaled by a learning rate; too large a rate overshoots, too small is slow	inferred	course-4735368	03-07	update rule w minus learning rate times partial derivative; chapter uses cross-entropy instead of the lecture's squared error
stc-02	The learning-rate update and the gradient-descent picture (step size, overshoot)	inferred	geron-pytorch	pp. 173–177	physical pages; chapter 4 gradient descent
stc-03	Two-score worked step: p = 0.5/0.5, loss 0.6931, gradient -0.5/+0.5; after one step at rate 1 scores 0.5/-0.5, p 0.731, loss 0.3133; nudging by 0.01 gives slope -0.499	observed	course-4735368	03-07	the book's own numbers; source row anchors the method; corpus/search-the-catalogue/run-worked.log section 1
stc-04	A forward pass of a language model outputs a probability for every vocabulary entry; the training loss is minus the log of the probability given to the true next token	inferred	course-6100015	07-22	
stc-05	The model receives integer token IDs, not characters or vectors; vectors come from a lookup inside the network	inferred	course-6100015	01-29	
stc-06	A tokenizer belongs to a model; the same text gets different IDs under different models' tokenizers	inferred	course-6100015	03-11	
stc-07	Subword tokenizers such as BPE split rare words into pieces mapped to embeddings	inferred	llm-deep-dive	pp. 65–66	physical pages; §2.3.3
stc-08	BPE procedure: start from characters, count adjacent symbol pairs, replace the most frequent pair everywhere, repeat; encoding replays the merges	inferred	arXiv:1508.07909	3.2	paper adds an end-of-word symbol, which the toy omits
stc-09	Toy query-log BPE: case x5, cases x3, base x2, cash x1; merges a+s (11), as+e (10), c+ase (8); case -> [5], cases -> [5, 8], base -> [3, 2], cash -> [4, 1, 7], caes -> [4, 0, 6, 8]	observed	arXiv:1508.07909	3.2	the book's own numbers; source row anchors the method; run-worked.log section 2
stc-10	The context window is the maximum number of tokens a model takes, including the generated tokens; API charges are counted in tokens	inferred	course-6100015	01-32	prices as of the recording not used
stc-11	Self-attention scores every token's query against every key, divides by the square root of the key width, softmaxes each row and blends the values	inferred	course-4735368	28-02	
stc-12	Scaled dot-product attention formula softmax(QK^T/sqrt(d_k))V	inferred	llm-deep-dive	pp. 63–64	physical; eq. 2.11–2.12
stc-13	Attention worked table for keyboard/for/laptop: scaled scores rows (0,0,2),(1,1,1),(2,0,0); both-ways outputs (0.107,0.787),(0.333,0.333),(0.787,0.107); causal outputs (1,0),(0.5,0),(0.787,0.107); appending a fourth token leaves causal rows unchanged, changes both-ways row 1 to (0.193,0.807)	observed	course-4735368	28-02	the book's own numbers; source row anchors the method; run-worked.log section 3; checked against torch F.scaled_dot_product_attention
stc-14	The decoder's mask is a matrix with minus infinity at future positions added to the scores before the softmax	inferred	llm-deep-dive	pp. 67–68	physical; eq. 2.19
stc-15	torch.nn.functional.scaled_dot_product_attention(query, key, value, attn_mask=None, dropout_p=0.0, is_causal=False, scale=None, enable_gqa=False); with is_causal=True the reference implementation fills positions above the diagonal with -inf before the softmax	reported	https://docs.pytorch.org/docs/stable/generated/torch.nn.functional.scaled_dot_product_attention.html	docstring	read from the installed torch 2.14.0+cpu docstring on 2026-09-13
stc-16	A pair scorer must run once per catalogue item for every query; an encoder encodes the catalogue once and each query once, then compares vectors	inferred	course-4735368	34-02	lecture's pass-count figures not used; the chapter's 2,000,000 x 1,000 example is its own
stc-17	The same encoder (siamese) encodes query and product; closeness is cosine similarity	inferred	course-4735368	34-02	
stc-18	Sentence vector by mean pooling over token outputs, using the attention mask so padding is left out	inferred	course-4735368	34-04	
