claim_id	paraphrase	label	source	locator	note
tokens-01	The first thing a language model receives is the token ID, an integer naming a chunk of text; vectors appear later inside the network, not at the input, as reported	reported	course-6100015	01-29	03-11 repeats it: every model takes token IDs in; what comes out may be a vector or a next token
tokens-02	Reported history: character-level input (a vocabulary of roughly 100 symbols) left too much for the network to learn; word-level vocabularies grew without bound on proper nouns and rare words had to be dropped; the chunk vocabulary is the middle ground and can fall back to single characters	reported	course-6100015	01-29	the lecturer's account; the essay uses only the three-way contrast
tokens-03	In the tokenizer UI a sentence of common words maps one token per word, the token includes the leading space as a beginning-of-word marker, and rarer words split into fragments (a compound into two pieces, an invented word into several), as reported	reported	course-6100015	01-30	the lecturer's examples; the essay uses none of the specific words
tokens-04	Reported character-to-token counts from the UI: 50 characters became 9 tokens and 66 characters became 18 tokens	reported	course-6100015	01-30	not used in the prose
tokens-05	Rule of thumb, as reported: a token is about four characters, or about three quarters of a word, so 1,000 tokens is about 750 words; code, mathematics and scientific terms use more tokens per character	reported	course-6100015	01-30	quoted once in the prose as the course's rule of thumb
tokens-06	A long decimal number was shown split into three-digit chunks and the lecturer states that the GPT vocabulary holds a separate token for every three-digit number, about a thousand entries	reported	course-6100015	01-30	the essay reports it as the course's observation; the four-digit-arithmetic anecdote is not repeated
tokens-07	Encoding with tiktoken is a local table lookup with no API call; a rare word ("banoffee") came back as two pieces where a common short name was one token, as reported	reported	course-6100015	01-31	
tokens-08	The context window is a maximum count of tokens that must hold the whole conversation plus the tokens generated so far; API prices are quoted per million tokens, as reported	reported	course-6100015	01-32	used for one sentence only; the budgeting arithmetic belongs to another essay
tokens-09	Tokenizing is two steps, text to chunks and chunks to integer IDs, through a dictionary that lists every chunk with its ID plus a few reserved special tokens; a special token means something only because the training data used it consistently, as reported	reported	course-6100015	03-11	
tokens-10	Each model has its own tokenizer; the same text gives different IDs and different splits under different models' tables, and the lecturer regards the token-count differences as minor next to result quality	reported	course-6100015	03-11	03-14 shows the same sentence under Llama, Phi-4 and DeepSeek with different IDs and one two-word name split differently
tokens-11	One sentence of 61 characters and 12 words encoded to 15 tokens with the Llama 3.1 tokenizer, and decoding prepended a begin-of-text special token, as reported	reported	course-6100015	03-12	
tokens-12	The Llama 3.1 tokenizer's vocabulary has 128,256 entries: 128,000 ordinary plus 256 reserved special tokens, as reported	reported	course-6100015	03-13	
tokens-13	A code-model tokenizer (Qwen coder) gives single tokens to punctuation constructs common in source code, as reported	reported	course-6100015	03-14	the lecturer says this is his surmise, not an analysis
tokens-14	The Mistral tokenizer prefixes every encoded prompt with the ID 1 as a beginning-of-sentence marker when that option is on, and omits it when off, as reported	reported	course-6538601	03-02	
tokens-15	Subword tokenization, of which byte-pair encoding and WordPiece are named as examples, splits words into pieces so that out-of-vocabulary words can still be represented; the book's example splits "unhappiness" into "un" and "happiness"; the page names BPE but does not describe the merge procedure	reported	llm-deep-dive	p. 65	physical page 65 = printed 35, section 2.3.3; page read 2026-09-13
tokens-16	The tokenizer is trained on the corpus before the model can be trained, because its output is the model's input; reusing another model's tokenizer is only sensible for similar data; the embedding layer has one row per learned token and the tokenized text is a list of row lookups	reported	llm-deep-dive	p. 77	physical page 77 = printed 47, section 2.4.2.5; page read 2026-09-13
tokens-17	The byte-pair procedure for word segmentation: start with the character vocabulary, represent each word as its characters plus an end-of-word symbol, repeatedly count all adjacent symbol pairs and replace every occurrence of the most frequent pair with a new symbol; the final vocabulary is the characters plus one entry per merge, and the merge count is the only hyperparameter; pairs never cross word boundaries, so the count runs over the word dictionary weighted by word frequency	reported	arXiv:1508.07909	§3.2	Sennrich, Haddow and Birch, fetched 2026-09-13; not in resources/books/; the essay's toy drops the end-of-word symbol and says so
tokens-18	Invented corpus: "sun" x4, "sung" x3, "gun" x2, "gong" x1. Round-1 pair counts: u+n 9, s+u 7, n+g 4, g+u 2, g+o 1, o+n 1; first merge u+n	observed	arXiv:1508.07909	§3.2	hand tally in workspace notes; confirmed by exercise.py (corpus/tokens-not-characters/run.log)
tokens-19	Round 2 after u+n: s+un 7, un+g 3, g+un 2, g+o 1, o+n 1, n+g 1; second merge s+un. Round 3: sun+g 3, g+un 2, g+o 1, o+n 1, n+g 1; third merge sun+g	observed	arXiv:1508.07909	§3.2	same run
