claim_id	paraphrase	label	source	locator	note
ttn-01	Evaluating on rows the model trained on overstates performance; split into training, validation and test; fit the normaliser on the training split only	inferred	course-4735368	03-09	
ttn-02	Save-best checkpointing keeps the weights with the lowest validation loss seen so far	inferred	course-4735368	07-04	
ttn-03	Choosing the checkpoint by validation loss is itself a kind of training, so a separate test split is kept for the final number	inferred	course-6100015	07-20	
ttn-04	Any use of the test split beyond reporting the final number, including tuning, leaks it into training	inferred	huyen-dmls	pp. 166, 223	
ttn-05	Standard error of an accuracy sqrt(p(1-p)/n): 0.0073 at n 2,000 and 0.0146 at n 500 for p 0.878	observed	huyen-dmls	p. 116	the book's own arithmetic; run-worked.log section 1; source row anchors the scarcity-of-validation point
ttn-06	Four photos per product, 20% of photos held out at random: a held-out photo has a sibling in training with probability 1 - 0.2^3 = 0.992; exercise measures 0.994	observed	huyen-dmls	pp. 165–166	group leakage (two scans of one patient split across train and test); the book's own arithmetic; run-worked.log section 2; run.log
ttn-07	Leakage is data or metadata unavailable at prediction time that correlates with the outcome; the outcome, or a function of it, used as a feature; detected when production performance falls short of test	inferred	ds-hard-parts	pp. 139–143	physical pages
ttn-08	Time-correlated data split randomly and duplicates split across train and test leak; split by time	inferred	huyen-dmls	pp. 163–165	physical pages
ttn-09	Winner's curse: 12 settings all truly 0.88 on 500 validation items: mean best 0.9032, same winner on fresh items 0.8799; P(best >= 0.90) 0.696 vs 0.093 for one setting	observed	course-6100015	07-20	the book's own simulation; run-worked.log section 3; prose now uses the exact binomial values (ttn-35); the Monte Carlo 0.696 is superseded
ttn-10	Picking the best of many candidates on one benchmark over and over overfits that benchmark; benchmark questions leaking into training data (contamination) inflates scores	inferred	course-6100015	04-04	
ttn-11	Class imbalance lets training settle on predicting the majority; accuracy is dominated by the majority; per-class recall is the better lens	inferred	huyen-dmls	pp. 120–126	early release, physical pages
ttn-12	Class-balanced loss weights each class by N / (samples of that class); resampling alternatives; never evaluate on resampled data	inferred	huyen-dmls	pp. 130–133	
ttn-13	Class weights penalise mistakes on the under-represented class more; gathering more data is the first remedy	inferred	course-4735368	15-02	
ttn-14	Best constant for 950 others and 50 blades is 0.05 (pulls 47.5 each); pos_weight 950/50 = 19 moves it to 0.5 (pulls 475 each)	observed	huyen-dmls	pp. 130–133	the book's own derivation; run-worked.log section 4
ttn-15	CrossEntropyLoss(weight=w) multiplies each row's loss by its true class's weight; mean reduction divides by the sum of those weights	reported	https://docs.pytorch.org/docs/stable/generated/torch.nn.CrossEntropyLoss.html	docstring	installed torch 2.14.0+cpu docstring, 2026-09-13
ttn-16	Precision TP/(TP+FP), recall TP/(TP+FN); accuracy counts both errors alike; lowering the threshold from 0.5 trades missed positives for false alarms	inferred	course-4735368	06-02	
ttn-17	Confusion-matrix counts move between false negatives and false positives as the threshold changes	inferred	course-4735368	06-03	
ttn-18	Each ROC point is one threshold; the useful region depends on which error is unaffordable	inferred	course-4735368	06-04	
ttn-19	Precision/recall trade-off; prefer the PR curve when the positive class is rare	inferred	geron-pytorch	pp. 146–151	physical pages
ttn-20	Ten-listing threshold sweep with costs 2 and 20: t 0.5 cost 62, 0.2 cost 42, 0.1 cost 24, 0.03 cost 8, 0.01 cost 12; calibrated break-even 2/22 = 0.0909	observed	geron-pytorch	pp. 146–151	the book's own numbers; run-worked.log section 5a
