claim_id	paraphrase	label	source	locator	note
rpm-01	A convolutional network splits into a feature extractor and a classifier head after pooling; transfer learning keeps the extractor and replaces the head with one sized for the new classes; freezing stops the extractor's weights updating	inferred	course-4735368	13-01	
rpm-02	On a 320-image subset a small network trained from scratch stayed below 50% validation accuracy; the pretrained backbone with a new head reached 71.3%	reported	course-4735368	13-01	lines 355-434
rpm-03	A randomly initialised new output layer makes large errors, and the large gradients can wreck the reused weights, so freeze them during the first epochs	inferred	geron-pytorch	pp. 414–416	physical pages
rpm-04	Thawing at the unchanged learning rate dropped validation to 33%; dividing the learning rate by 100 raised it to 72.2%	reported	course-4735368	13-02	lines 218-241
rpm-05	Unfreeze all and lower the learning rate, typically by a factor of 10; differential learning rates via parameter groups	inferred	geron-pytorch	pp. 492–493	physical pages
rpm-06	Parameter groups: the optimiser takes a list of dicts, each with its params and hyperparameters	inferred	geron-pytorch	p. 436	physical page
rpm-07	BatchNorm normalises with batch mean and variance in training mode and with moving averages at inference; gamma and beta are trainable, mean and variance are not; keep BN in inference mode while fine-tuning; Keras trainable=False on BN switches it to inference mode	inferred	course-4735368	13-02	
rpm-08	BN algorithm with epsilon about 1e-5; moving averages used after model.eval(); forgetting train/eval is a common mistake; BN has parameters weight, bias and buffers running_mean, running_var, num_batches_tracked; momentum default 0.1	inferred	geron-pytorch	pp. 406–409	physical pages; update direction per the torch 2.14 BatchNorm1d docstring: x_new = (1 - momentum) x_old + momentum x_batch
rpm-09	Features can be computed once by the frozen model and a downstream model trained on them	inferred	raschka-qai	pp. 132–133	physical pages
rpm-10	BatchNorm worked table: mean 0.1/0.19/0.6513/0.8784/0.9948, var 0.936/0.8784/0.5832/0.4378/0.3633 after 1/2/10/20/50 batches; output for 1.6 falls 1.6 -> 1.55 -> 1.504 -> 1.242 -> 1.091 -> 1.004, towards 1.0; torch BatchNorm1d after 10 batches 0.6513, 0.5832, 1.2423	observed	geron-pytorch	pp. 406–409	the book's own numbers; run-worked.log
rpm-11	Exercise part 1: freezes A/B/C all move 0 weights; A old task 0.952 new 0.765; B old 0.981 new 0.824; C new 0.639; thaw at 1/10 rate old 0.932 new 0.980, weights moved 0.215	observed	course-4735368	13-02	the book's own run; run.log
rpm-12	A 3-billion-weight Llama 3.2 base needs 13 GB of GPU memory just to hold before training	reported	course-6100015	07-02	
rpm-13	Adam keeps two exponentially decaying averages per parameter: of the gradients and of the squared gradients	inferred	geron-pytorch	pp. 424–425	physical page
rpm-14	Full fine-tune of 3 billion weights at 4 bytes: weights, gradients and two Adam moments are 12 GB each, 48 GB before activations	observed	geron-pytorch	pp. 424–425	the book's own arithmetic; run-worked.log
rpm-15	LoRA freezes all base weights; adapters A and B are multiplied, scaled and added to target modules	inferred	course-6100015	07-02	
rpm-16	r of 8, 16, 32 common; alpha = 2r rule of thumb; start by targeting the attention projections, add MLP layers for slightly more capacity	inferred	course-6100015	07-03	
rpm-17	h = W0 x + B A x; B d x r, A r x k; A Gaussian and B zero at initialisation; update scaled by alpha / r	inferred	arXiv:2106.09685	§4.1	some lecture descriptions treat alpha as a plain multiplier; the chapter follows the paper
rpm-18	Rank-1 worked example: A = [2, -1, 0, 1], B = [1, 0, 3, -1]^T; B A rows 1xA, 0xA, 3xA, -1xA; x = (1, 0, 2, 1): A x = 3, B(Ax) = (3, 0, 9, -3) = (BA)x	observed	arXiv:2106.09685	§4.1	the book's own numbers; run-worked.log
rpm-19	Base model 28 decoder layers, inner width 3072; attention outputs of 1024 for k and v; rank-32 adapters on q, k, v, o	reported	course-6100015	07-04	spoken as 3000 and 1000; 3072 and 1024 inferred from the file size
rpm-20	Adapter file for r = 32 on q, k, v, o is 73.4 MB on disk	reported	course-6100015	07-06	
rpm-21	Recomputed: 655,360 adapter parameters per layer, 18,350,080 over 28 layers, 73,400,320 bytes; the q projection alone is 9,437,184 entries against a 196,608-number adapter (2.08%)	observed	course-6100015	07-05	the book's own arithmetic; run-worked.log
rpm-22	Base quantised to 4-bit fits in 2.2 GB; adapters stay at full precision (about 70 MB)	reported	course-6100015	07-05	
rpm-23	Exercise part 2: pretrained writer loss 0.2502 on own text, 10.3556 on shop format; LoRA r=1 trainable 256, shop-format loss 0.8303; r=4 trainable 1024, adapter 4096 bytes, shop-format 0.3883, own-text 12.4983; unplugged own-text 0.2502 and base weights unchanged True; merged difference 1.2e-05; full fine-tune 6428 trainable, shop-format 0.1934, own-text 5.4382	observed	arXiv:2106.09685	§4.1	the book's own run; run.log
rpm-24	Optimisers of the Adam family keep running state per parameter and use more memory	inferred	course-6100015	07-12	
rpm-25	A setting of r = 256 with alpha = 512 in a run comparison, consistent with alpha = 2r	reported	course-6100015	07-20	
rpm-26	Freezing the whole pretrained model and training on top is the cheapest; finetuning all layers is most expensive and usually better	inferred	raschka-qai	pp. 133–134	physical pages
rpm-27	QLoRA model printout: the embedding layer is unchanged while the attention projections are 4-bit linear layers carrying LoRA A and B	inferred	course-6100015	07-05	2.2 GB + ~70 MB as in rpm receipts; as of the recording
rpm-28	PyTorch BatchNorm running_var is updated with the unbiased batch variance; normalisation in training mode uses the biased one	inferred	https://docs.pytorch.org/docs/stable/generated/torch.nn.BatchNorm1d.html		PyTorch 2.14 docstring
rpm-29	LoRA scales the update by alpha/r with alpha constant in r; the scaling reduces the need to retune hyperparameters when r varies	inferred	arXiv:2106.09685	§4.1	
rpm-30	Worked question 1: new batches with mean 0.4 and variance 0.25 under freeze A; after 50 batches running mean 0.398, running variance 0.254, output for 1.6 = 2.386, towards 2.4; the drift rises where the chapter table fell	observed	geron-pytorch	pp. 406–409	the book's own numbers; run-worked.log (closed form 0.3979 / 0.2539 / 2.386; torch BatchNorm1d 0.3979 / 0.2539 / 2.3856)
