claim_id	paraphrase	label	source	locator	note
attention-01	Query, key and value are the lecture's search-engine analogy: the query is what is typed, every stored key is scored against it by a similarity function, and the value is what is returned; a soft version returns a weighted mix rather than one hit	reported	course-4735368	28-02	the lecture develops the analogy for RNN attention first, then for self-attention within one block
attention-02	Q, K and V are produced from the same token embeddings by separate linear layers; the lecture describes the keys as a database from which a query picks entries and produces an output value	reported	course-6538601	02-02	the same lecture: one-hot rows of a 4096-word vocabulary embedded to 128 numbers; embeddings alone are not contextual, which is the reason for attention
attention-03	With S tokens of width d, Q·Kᵀ is an S × S table of scores (the lecture's own example is 5 × 32 giving 5 × 5); the softmax is applied row by row so each row sums to one; the weights times V give S × d again	reported	course-4735368	28-02	the lecture works one row as e^0.6 over e^0.6 + e^0.3 + e^0.1 + e^0 + e^0; the essay's table uses its own numbers
attention-04	The scores are divided by the square root of d_k, the width of the query and key vectors, before the softmax	reported	course-4735368	28-02	lecturer first says 'the square of 32', then reads the paper's √d_k; 02-02 first says 1/d_k and corrects to 1/√d_k; llm-deep-dive p. 63 eq. 2.11–2.12 states q·k/√d_k
attention-05	The reason for the divisor, as the lecture reads it from the paper: for large d_k the dot products grow large and push the softmax into a region where its gradients are extremely small	reported	course-6538601	02-02	paraphrase of the paper's stated suspicion, in the lecturer's mouth
attention-06	In the decoder the self-attention is masked: for each row, the weights of later tokens are removed so a token's output depends only on itself and the tokens before it; the first token depends only on itself and the last token has nothing masked; the cross-attention to the encoder is not masked	reported	course-4735368	28-02	the lecture describes the masked entries as replaced by zeros and the kept entries as ones on a diagram; it does not give the additive −∞ form (see attention-12)
attention-07	Why the mask exists, per the lecture: at test time the decoder is run token by token (start token → first word, append, run again) so future words are unavailable, and training must not use them either	reported	course-4735368	28-02	the lecture's example is a translation decoder with a start token and an end token
attention-08	The decoder's input during training is the target sequence shifted right by one position; the mask is mentioned as an optional step and skipped in this lecture	reported	course-6538601	02-02	
attention-09	A decoder-only Llama layer holds four learned parameter sets for self-attention: query, key, value and output projections; the lecture reports 16 decoder layers of width 2048	reported	course-6100015	03-18	intuition-level lecture, no arithmetic and no mask; used only for the four projections
attention-10	The original configuration as the lecture reports it from the paper: d_model 512, eight heads, d_k = d_v = 64 (512 / 8), each head's projection taking a 5 × 512 input to 5 × 64; heads are concatenated and projected back to d_model	reported	course-4735368	28-02	llm-deep-dive p. 66 (§2.3.5, eqs. 2.15–2.16) also gives h = 8 and the concatenate-then-W_O form
attention-11	In self-attention the context vector for each element is an attention-weighted sum over the elements of the same sequence, in contrast to RNN attention between an encoder and a decoder sequence	reported	raschka-qai	pp. 117–119	physical pages; printed 112–114 (Q17)
attention-12	The mask is a matrix M with −∞ at the positions of future tokens and 0 elsewhere, added to Q·Kᵀ after the dot product and before the softmax, so the softmax output for future tokens is zero: maskedAttention = softmax((QKᵀ + M)/√d_k) V	reported	llm-deep-dive	p. 68	physical page; printed 38, §2.3.8 eq. 2.19; the essay's code uses −1e9 in place of −∞, which gives exp = 0.0 in floating point — the book's own implementation choice
attention-13	The decoder's masked self-attention ensures the prediction for a position depends only on the known outputs at earlier positions; this masking is what keeps the autoregressive property during both training and inference, where tokens are generated one at a time with the earlier ones as context	reported	raschka-qai	pp. 125–126	physical pages; printed 120–121 (Q18, 'Decoders'); llm-deep-dive p. 64 §2.3.2 says the same in one bullet
attention-14	BERT-style 'masked language modeling' masks random input tokens and predicts them; it is a different use of the word mask from the causal mask, and the two coexist in the sources	inferred	raschka-qai	pp. 123–124	physical pages; printed 118–119; llm-deep-dive p. 81 §2.5.2.2 gives the MLM loss with 15 % of tokens masked; the name-collision observation is the book's
attention-15	The causal language-model loss averages −log P(x_i | x_<i) over every position i of the sequence, so one forward pass over a document yields a loss term for every next-token prediction	reported	llm-deep-dive	p. 81	physical page; printed 51, §2.5.2.1 eq. 2.21
attention-16	Invented worked example: d_k = 4 so √d_k = 2; keys (2,0,0,0), (0,2,0,0), (1,0,1,0); values (1,0), (0,1), (1,1); queries (1,1,0,0), (0,2,0,0), (2,0,0,0); raw score table rows 2,2,1 / 0,4,0 / 4,0,2; scaled 1,1,0.5 / 0,2,0 / 2,0,1	observed	llm-deep-dive	p. 63	the book's own numbers; every dot product recomputable by hand; verified by workspace exercise.py (run.log)
attention-17	Masked row 2: softmax over (0, 2) with e^0 = 1 and e^2 = 7.389 gives weights 0.119 and 0.881, output 0.119·(1,0) + 0.881·(0,1) = (0.119, 0.881); the same row computed with only two tokens present is identical to twelve decimal places	observed	llm-deep-dive	p. 68	run.log; the pitch's numbers confirmed
attention-18	Unmasked row 2: softmax over (0, 2, 0) gives 0.107, 0.787, 0.107 and output (0.213, 0.893); unmasked row 1: softmax over (1, 1, 0.5) gives 0.384, 0.384, 0.233 and output (0.616, 0.616); masked row 1 has weight 1 on itself and output (1, 0)	observed	llm-deep-dive	p. 68	run.log; e^1 = 2.718, e^0.5 = 1.649
attention-19	Row 3, which the mask does not touch in a three-token sequence: softmax over (2, 0, 1) with e^2 = 7.389, e^0 = 1, e^1 = 2.718 gives 0.665, 0.090, 0.245 and output (0.910, 0.335), against the (1,0) a hard lookup would return	observed	llm-deep-dive	p. 63	run.log; the pitch's numbers confirmed
attention-20	Appending a fourth token with key (0,1,0,2), value (0,2) and query (1,0,1,1): with the mask, rows 1–3 are unchanged to the last bit (Python equality) and row 4 has weights 0.297, 0.109, 0.297, 0.297 and output (0.594, 1.000); without the mask row 1 becomes (0.500, 0.878), row 2 (0.165, 1.142), row 3 (0.835, 0.472) and the assertion fails	observed	llm-deep-dive	p. 68	run.log, Python 3.12.3, plain math.exp; the new column's scaled scores for rows 1–3 are 0.5, 1 and 0
attention-21	Why the rows are invariant: row k's softmax denominator sums only over columns 1..k, and the keys and values in those columns are computed from tokens 1..k alone, so nothing appended later enters the arithmetic of row k in any layer of a stack of causal layers	observed	llm-deep-dive	p. 68	follows from eq. 2.19 with the −∞ entries; the essay's own argument; the exercise checks it numerically
attention-22	Plain implementations compute the full S × S table and then discard the masked half; the mask hides the future without saving the work in that form	hypothesis	course-4735368	28-02	the lecture's diagram zeroes entries of an already computed table; that fused kernels skip the masked blocks is not claimed in the essay
